Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg),Title
seq0-0,small,Binnale van Veneti 2017 Vijf kunstenaars hopen het Nederlands Binnalepaviljoen in te richten.  Bijna allemaal laten ze het publiek actief meedoen,Binnale van Veneti 2017 Vijf kunstenaars hopen het Nederlands Binnalepaviljoen in te richten. <extra_id_0> ze het <extra_id_1>,Binnale van Veneti 2017 Vijf kunstenaars hopen het Nederlands Binnalepaviljoen in te richten. Hoe ze het,"['Bijna allemaal laten', 'publiek actief meedoen']","['Hoe', '']",6,30,1,"[0.95, 1.0]",0.97,nrc
seq1-0,small,"Beelden detoneren in barok plezierbos Oude Warande Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen.  Er wordt gepicknickt op de grasvelden, honden nemen een duik in de vennetjes en kinderen leren fietsen op de rechte paden die het park doorkruisen","Beelden detoneren in barok plezierbos Oude <extra_id_0> dagen wordt <extra_id_1> een park net buiten Tilburg, <extra_id_2> Er wordt gepicknickt op de grasvelden, honden nemen een duik in de vennetjes en kinderen leren <extra_id_3> rechte paden <extra_id_4> park doorkruisen","Beelden detoneren in barok plezierbos Oude parken op dagen wordt geopend in een park net buiten Tilburg, Groningen. Er wordt gepicknickt op de grasvelden, honden nemen een duik in de vennetjes en kinderen leren de rechte paden van het park doorkruisen","['Warande Op zonnige', 'de Oude Warande,', 'overspoeld door dagjesmensen.', 'fietsen op de', 'die het']","['parken op', 'geopend in', 'Groningen.', 'de', 'van het']",14,30,1,"[0.7222222222222222, 0.8125, 0.7931034482758621, 0.8461538461538461, 0.42857142857142855]",0.72,nrc
seq2-0,small,"'Bompakketje' Namibi was veiligheidstest Een verdacht pakketje dat onderweg was naar Duitsland en woensdag werd gevonden op een vliegveld in Namibi, was een nepbom bedoeld om de veiligheid van de luchthaven te testen.  Het ","'Bompakketje' Namibi was <extra_id_0> dat onderweg was naar Duitsland en woensdag werd gevonden op een vliegveld in Namibi, was <extra_id_1> om de veiligheid van <extra_id_2> testen. Het","'Bompakketje' Namibi was een vliegtuig dat onderweg was naar Duitsland en woensdag werd gevonden op een vliegveld in Namibi, was gericht om de veiligheid van de vliegtuigen te testen. Het","['veiligheidstest Een verdacht pakketje', 'een nepbom bedoeld', 'de luchthaven te']","['een vliegtuig', 'gericht', 'de vliegtuigen te']",10,30,1,"[0.8378378378378378, 0.9444444444444444, 0.4117647058823529]",0.73,nrc
seq3-0,small,Hamas mag in Rusland op bezoek komen .  Tot ontsteltenis van Isral heeft de Russische president Poetin gisteren aangekondigd de moslimfundamentalistische organisatie Hamas te zullen uitnodigen voor besprekingen in Moskou,Hamas mag <extra_id_0> bezoek komen . Tot ontsteltenis van Isral <extra_id_1> president Poetin gisteren aangekondigd de moslimfundamentalistische organisatie Hamas te zullen uitnodigen <extra_id_2> Moskou,Hamas mag op bezoek komen . Tot ontsteltenis van Isral heeft president Poetin gisteren aangekondigd de moslimfundamentalistische organisatie Hamas te zullen uitnodigen Moskou,"['in Rusland op', 'heeft de Russische', 'voor besprekingen in']","['op', 'heeft', '']",9,30,1,"[0.8461538461538461, 0.7222222222222222, 1.0]",0.86,nrc
seq4-0,small,Helft van de daders aanslagen heeft crimineel verleden Foto Emilio Morenatti/AP Barcelona is de laatst getroffen stad in een reeks terroristische aanslagen.  Sympathisanten van Islamtische Staat pleegden alleen al in de afgelopen 12 maanden veertien aanslagen in Europese steden,Helft van de <extra_id_0> crimineel verleden Foto Emilio Morenatti/AP Barcelona is de laatst getroffen stad in een <extra_id_1> Sympathisanten <extra_id_2> pleegden alleen al in de afgelopen 12 maanden veertien <extra_id_3> steden,Helft van de moord op een crimineel verleden Foto Emilio Morenatti/AP Barcelona is de laatst getroffen stad in een eeuw. Sympathisanten van Barcelona pleegden alleen al in de afgelopen 12 maanden veertien geweld tegen steden,"['daders aanslagen heeft', 'reeks terroristische aanslagen.', 'van Islamtische Staat', 'aanslagen in Europese']","['moord op een', 'eeuw.', 'van Barcelona', 'geweld tegen']",12,30,1,"[0.7727272727272727, 0.9032258064516129, 0.6190476190476191, 0.8095238095238095]",0.78,nrc
seq5-0,small,De 32-jarige man die de politie gisteravond heeft opgepakt in verband met de schietpartij en bomaanslag in Noorwegen wordt in verband gebracht met rechtsextremisme en publiceerde op internet veelvuldig kritisch over de islam.  Dat melden Noorse media,De 32-jarige man die de politie gisteravond heeft <extra_id_0> met de schietpartij en bomaanslag in Noorwegen <extra_id_1> gebracht met rechtsextremisme <extra_id_2> op internet veelvuldig <extra_id_3> islam. Dat melden Noorse media,De 32-jarige man die de politie gisteravond heeft aangehouden met de schietpartij en bomaanslag in Noorwegen is in verband gebracht met rechtsextremisme en op internet veelvuldig over islam. Dat melden Noorse media,"['opgepakt in verband', 'wordt in verband', 'en publiceerde', 'kritisch over de']","['aangehouden', 'is in verband', 'en', 'over']",11,30,1,"[0.8421052631578947, 0.3125, 0.8571428571428571, 0.75]",0.69,nrc
seq6-0,small,Een 29-jarige arrestant uit Den Haag is gisteravond op weg naar het politiebureau overleden.  De man werd onwel terwijl hij geboeid op de achterbank van de politieauto lag en overleed daar,Een 29-jarige arrestant uit Den Haag is gisteravond op weg naar het politiebureau <extra_id_0> werd onwel terwijl hij geboeid op <extra_id_1> de politieauto <extra_id_2> daar,Een 29-jarige arrestant uit Den Haag is gisteravond op weg naar het politiebureau Hij werd onwel terwijl hij geboeid op de teller van de politieauto Hij is daar,"['overleden. De man', 'de achterbank van', 'lag en overleed']","['Hij', 'de teller van', 'Hij is']",9,30,1,"[1.0, 0.47058823529411764, 0.9333333333333333]",0.8,nrc
seq7-0,small,Zelfrijdende autos De Duitse auto-industrie reageerde traag op de omwentelingen in de sector.  Samenwerking moet leiden tot een inhaalslag,Zelfrijdende autos De Duitse auto-industrie reageerde traag op de <extra_id_0> sector. Samenwerking <extra_id_1> een inhaalslag,Zelfrijdende autos De Duitse auto-industrie reageerde traag op de Duitse sector. Samenwerking met een inhaalslag,"['omwentelingen in de', 'moet leiden tot']","['Duitse', 'met']",6,30,1,"[0.8947368421052632, 0.8]",0.85,nrc
seq8-0,small,"Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART.  Mediabedrijf Wegener Arcade verwacht dat de nieuwe televisiezenders TV10 Gold en The Music Factory dit jaar nog niet zullen bijdragen aan de resultaten van het concern","Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART. Mediabedrijf Wegener Arcade verwacht dat de <extra_id_0> en The Music Factory dit jaar nog niet zullen <extra_id_1> resultaten <extra_id_2>","Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART. Mediabedrijf Wegener Arcade verwacht dat de nieuwe zenders The Walking Dead en The Music Factory dit jaar nog niet zullen winnen met resultaten","['nieuwe televisiezenders TV10 Gold', 'bijdragen aan de', 'van het concern']","['nieuwe zenders The Walking Dead', 'winnen met', '']",10,30,1,"[0.6363636363636364, 0.75, 1.0]",0.8,nrc
seq9-0,small,"Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid.  Letterlijk n figuurlijk, zo blijkt uit de inzendingen voor de essayprijs- vraag die deze krant samen met de Stichting Sociale Zekerheid 2001 organiseerde","Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid. Letterlijk n figuurlijk, zo blijkt uit de inzendingen voor de <extra_id_0> deze krant <extra_id_1> Sociale <extra_id_2>","Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid. Letterlijk n figuurlijk, zo blijkt uit de inzendingen voor de krant. In deze krant is de Sociale","['essayprijs- vraag die', 'samen met de Stichting', 'Zekerheid 2001 organiseerde']","['krant. In', 'is de', '']",10,30,1,"[0.9047619047619048, 0.8636363636363636, 1.0]",0.92,nrc
seq10-0,small,"De Achterpagina bezoekt bijzondere kleedkamers.  Vandaag het mooiste voetbalstadion van Nederland, De Kuip in Rotterdam, thuishaven van Feyenoord","De Achterpagina bezoekt bijzondere kleedkamers. <extra_id_0> mooiste voetbalstadion van Nederland, De <extra_id_1> thuishaven van Feyenoord","De Achterpagina bezoekt bijzondere kleedkamers. Het mooiste voetbalstadion van Nederland, De Achterpagina is de thuishaven van Feyenoord","['Vandaag het', 'Kuip in Rotterdam,']","['Het', 'Achterpagina is de']",5,30,1,"[0.8181818181818182, 1.0]",0.91,nrc
seq11-0,small,Van koffie tot herone Screenshot '100 Years Of Drugs In America: From Coffee To Heroin' Van koffie tot herone: in drie minuten zet dit filmpje de verslavingen van Amerikanen in de afgelopen 100 jaar op een rij.  Het begint braaf in de Verenigde Staten: in 1912 klaagt de Amerikaanse overheid Coca Cola aan voor het toevoegen van cafene aan hun dranken,Van <extra_id_0> Screenshot '100 Years Of Drugs In America: From Coffee To Heroin' Van koffie tot <extra_id_1> minuten zet dit filmpje de verslavingen van Amerikanen in de afgelopen 100 jaar op een rij. Het <extra_id_2> de <extra_id_3> 1912 klaagt de Amerikaanse overheid Coca Cola aan <extra_id_4> van cafene <extra_id_5>,Van koffie tot heroïne Screenshot '100 Years Of Drugs In America: From Coffee To Heroin' Van koffie tot heroïne In de minuten zet dit filmpje de verslavingen van Amerikanen in de afgelopen 100 jaar op een rij. Het is de eerste keer dat in 1912 klaagt de Amerikaanse overheid Coca Cola aan de hand van cafene,"['koffie tot herone', 'herone: in drie', 'begint braaf in', 'Verenigde Staten: in', 'voor het toevoegen', 'aan hun dranken']","['koffie tot heroïne', 'heroïne In de', 'is', 'eerste keer dat in', 'de hand', '']",18,30,1,"[0.05555555555555555, 0.3333333333333333, 0.9333333333333333, 0.65, 0.8888888888888888, 1.0]",0.64,nrc
seq12-0,small,"Identiteit Laat biologie niet je identiteit bepalen, schrijft Sophie Rutenfrans.  Immers, je cyclus bepaalt niet wie je bent","Identiteit Laat biologie niet je identiteit bepalen, schrijft Sophie Rutenfrans. <extra_id_0> bepaalt <extra_id_1> je bent","Identiteit Laat biologie niet je identiteit bepalen, schrijft Sophie Rutenfrans. Je bepaalt wie je bent","['Immers', 'je cyclus', 'niet wie']","['Je', 'wie']",5,30,1,"[0.8333333333333334, 1.0]",0.92,nrc
seq13-0,small,"Een paar weken geleden, op n van de eerste zomerdagen, maakten mijn dochter en ik een tochtje door de stad op een waterfiets.  Vertrekkend vanaf het waterfietsstation tegenover het Amricain, passeerden wij de duiven die onder de brug bij de Leidsegracht zaten te broeden","Een paar weken geleden, op n <extra_id_0> zomerdagen, maakten mijn dochter en ik een tochtje door de stad op een waterfiets. Vertrekkend vanaf het <extra_id_1> Amricain, passeerden wij de duiven die <extra_id_2> de Leidsegracht <extra_id_3>","Een paar weken geleden, op n drukke zomerdagen, maakten mijn dochter en ik een tochtje door de stad op een waterfiets. Vertrekkend vanaf het eiland Amricain, passeerden wij de duiven die in de Leidsegracht waren.","['van de eerste', 'waterfietsstation tegenover het', 'onder de brug bij', 'zaten te broeden']","['drukke', 'eiland', 'in', 'waren.']",13,30,1,"[0.8461538461538461, 0.8709677419354839, 0.9411764705882353, 0.8125]",0.87,nrc
seq14-0,small,KPN laat Duitse markt schieten KPN verdient miljarden met de verkoop van het Duitse dochterbedrijf E-Plus.  De koper Telefnica moet de strijd nu aangaan met grote Duitse concurrenten,KPN <extra_id_0> schieten KPN verdient <extra_id_1> de verkoop <extra_id_2> dochterbedrijf E-Plus. De koper Telefnica moet de strijd nu aangaan met grote Duitse concurrenten,KPN moet schieten KPN verdient met de verkoop van dochterbedrijf E-Plus. De koper Telefnica moet de strijd nu aangaan met grote Duitse concurrenten,"['laat Duitse markt', 'miljarden met', 'van het Duitse']","['moet', 'met', 'van']",8,30,1,"[0.8823529411764706, 0.7692307692307693, 0.7857142857142857]",0.81,nrc
seq15-0,small,Opnieuw strijd om Eksit  al is de poptempel al 34 jaar dicht Over het fameuze Rotterdamse jongerencentrum (1970-1981) is een historiografische controverse ontbrand door het boek Eksit van journalist Kees Vermeer.  De Sex Pistols op 14 december 1977 tijdens een historisch en volledig uitverkocht optreden in Eksit,Opnieuw strijd om Eksit <extra_id_0> poptempel al 34 jaar dicht Over het fameuze Rotterdamse jongerencentrum (1970-1981) is een historiografische controverse ontbrand door het boek <extra_id_1> Kees Vermeer. De Sex Pistols op 14 december <extra_id_2> een <extra_id_3> uitverkocht <extra_id_4>,Opnieuw strijd om Eksit De poptempel al 34 jaar dicht Over het fameuze Rotterdamse jongerencentrum (1970-1981) is een historiografische controverse ontbrand door het boek van Kees Vermeer. De Sex Pistols op 14 december is een nieuwe uitverkocht thriller.,"['al is de', 'Eksit van journalist', '1977 tijdens', 'historisch en volledig', 'optreden in Eksit']","['De', 'van', 'is', 'nieuwe', 'thriller.']",14,30,1,"[0.875, 0.85, 0.8333333333333334, 0.8636363636363636, 0.8823529411764706]",0.86,nrc
seq16-0,small,Aidsvoorlichting voor vrachtwagenchauffeurs; Verhalenbundel van allochtone schrijvers Het land in mij.  Nieuwe verhalen van jonge schrijvers op de grens van twee werelden,Aidsvoorlichting <extra_id_0> allochtone schrijvers Het land in mij. <extra_id_1> jonge schrijvers op de grens van twee werelden,Aidsvoorlichting voor allochtone schrijvers Het land in mij. Voor jonge schrijvers op de grens van twee werelden,"['voor vrachtwagenchauffeurs; Verhalenbundel van', 'Nieuwe verhalen van']","['voor', 'Voor']",7,30,1,"[0.9130434782608695, 0.9473684210526315]",0.93,nrc
