Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Masking percentage,Duplicate count
Binnale van Veneti 2017 Vijf kunstenaars hopen het Nederlands Binnalepaviljoen in te richten.  Bijna allemaal laten ze het publiek actief meedoen,Binnale <extra_id_0> Vijf kunstenaars hopen het Nederlands Binnalepaviljoen in te richten. Bijna allemaal laten <extra_id_1> publiek actief meedoen,"['van Veneti 2017', 'ze het']",5,25.0,1
"Beelden detoneren in barok plezierbos Oude Warande Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen.  Er wordt gepicknickt op de grasvelden, honden nemen een duik in de vennetjes en kinderen leren fietsen op de rechte paden die het park doorkruisen","Beelden detoneren in barok <extra_id_0> Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen. Er wordt gepicknickt op de grasvelden, honden nemen een duik in de vennetjes <extra_id_1> fietsen op <extra_id_2> die <extra_id_3>","['plezierbos Oude Warande', 'en kinderen leren', 'de rechte paden', 'het park doorkruisen']",12,25.0,1
"'Bompakketje' Namibi was veiligheidstest Een verdacht pakketje dat onderweg was naar Duitsland en woensdag werd gevonden op een vliegveld in Namibi, was een nepbom bedoeld om de veiligheid van de luchthaven te testen.  Het ",'Bompakketje' Namibi was veiligheidstest Een <extra_id_0> onderweg was naar Duitsland <extra_id_1> gevonden op een vliegveld <extra_id_2> was een nepbom bedoeld om de veiligheid van de luchthaven te testen. Het,"['verdacht pakketje dat', 'en woensdag werd', 'in Namibi,']",8,25.0,1
Hamas mag in Rusland op bezoek komen .  Tot ontsteltenis van Isral heeft de Russische president Poetin gisteren aangekondigd de moslimfundamentalistische organisatie Hamas te zullen uitnodigen voor besprekingen in Moskou,Hamas mag in Rusland op bezoek komen . Tot ontsteltenis van Isral heeft de Russische president <extra_id_0> de moslimfundamentalistische organisatie Hamas <extra_id_1> uitnodigen voor <extra_id_2>,"['Poetin gisteren aangekondigd', 'te zullen', 'besprekingen in Moskou']",8,25.0,1
Helft van de daders aanslagen heeft crimineel verleden Foto Emilio Morenatti/AP Barcelona is de laatst getroffen stad in een reeks terroristische aanslagen.  Sympathisanten van Islamtische Staat pleegden alleen al in de afgelopen 12 maanden veertien aanslagen in Europese steden,Helft van de daders aanslagen heeft crimineel verleden Foto Emilio Morenatti/AP Barcelona is de <extra_id_0> in een reeks terroristische <extra_id_1> Staat pleegden alleen al in de afgelopen 12 maanden veertien <extra_id_2> steden,"['laatst getroffen stad', 'aanslagen. Sympathisanten van Islamtische', 'aanslagen in Europese']",10,25.0,1
De 32-jarige man die de politie gisteravond heeft opgepakt in verband met de schietpartij en bomaanslag in Noorwegen wordt in verband gebracht met rechtsextremisme en publiceerde op internet veelvuldig kritisch over de islam.  Dat melden Noorse media,De 32-jarige man die de politie gisteravond heeft opgepakt in verband met <extra_id_0> bomaanslag in Noorwegen wordt in verband <extra_id_1> en publiceerde op internet <extra_id_2> de islam. Dat melden Noorse media,"['de schietpartij en', 'gebracht met rechtsextremisme', 'veelvuldig kritisch over']",9,25.0,1
Een 29-jarige arrestant uit Den Haag is gisteravond op weg naar het politiebureau overleden.  De man werd onwel terwijl hij geboeid op de achterbank van de politieauto lag en overleed daar,Een 29-jarige <extra_id_0> Den Haag is gisteravond <extra_id_1> het politiebureau overleden. De man werd onwel terwijl hij geboeid op de achterbank van <extra_id_2> en overleed daar,"['arrestant uit', 'op weg naar', 'de politieauto lag']",8,25.0,1
Zelfrijdende autos De Duitse auto-industrie reageerde traag op de omwentelingen in de sector.  Samenwerking moet leiden tot een inhaalslag,Zelfrijdende autos De Duitse auto-industrie <extra_id_0> op de omwentelingen in de sector. Samenwerking moet <extra_id_1> inhaalslag,"['reageerde traag', 'leiden tot een']",5,25.0,1
"Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART.  Mediabedrijf Wegener Arcade verwacht dat de nieuwe televisiezenders TV10 Gold en The Music Factory dit jaar nog niet zullen bijdragen aan de resultaten van het concern","Wegener: nog <extra_id_0> tv-zenders APELDOORN, 19 MAART. Mediabedrijf Wegener Arcade verwacht dat de nieuwe televisiezenders TV10 Gold en The Music Factory dit <extra_id_1> zullen bijdragen <extra_id_2> van het concern","['geen winst met', 'jaar nog niet', 'aan de resultaten']",9,25.0,1
"Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid.  Letterlijk n figuurlijk, zo blijkt uit de inzendingen voor de essayprijs- vraag die deze krant samen met de Stichting Sociale Zekerheid 2001 organiseerde",Vangnet Nederland De sociale zekerheid in <extra_id_0> kostbare verworvenheid. Letterlijk n <extra_id_1> uit de inzendingen voor de essayprijs- vraag die deze krant samen met de Stichting Sociale Zekerheid <extra_id_2>,"['Nederland is een', 'figuurlijk, zo blijkt', '2001 organiseerde']",8,25.0,1
