Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg),Title
seq0-0,small,Miljoenen Afghanen leven onder de armoedegrens. Buitenlandse donoren bieden weinig hulp omdat de Taliban vrouwenrechten drastisch beperkten. Vermindering van de internationale hulp zal dezelfde Afghaanse vrouwen die we hopen te steunen alleen maar meer laten lijden.,Miljoenen Afghanen leven onder de armoedegrens. Buitenlandse donoren bieden weinig hulp omdat de Taliban vrouwenrechten drastisch <extra_id_0> van <extra_id_1> zal dezelfde Afghaanse vrouwen die we hopen te steunen alleen maar meer laten lijden.,Miljoenen Afghanen leven onder de armoedegrens. Buitenlandse donoren bieden weinig hulp omdat de Taliban vrouwenrechten drastisch verbeterd. De steun van de Taliban zal dezelfde Afghaanse vrouwen die we hopen te steunen alleen maar meer laten lijden.,"['beperkten. Vermindering', 'de internationale hulp']","['verbeterd. De steun', 'de Taliban']",5,15,1,"[0.6956521739130435, 0.7272727272727273]",0.71,ad
seq1-0,small,Defensie voert de druk op om te dienen bij de krijgsmacht. Jongeren reageren verdeeld.,Defensie voert de druk op om te dienen bij de krijgsmacht. <extra_id_0> verdeeld.,Defensie voert de druk op om te dienen bij de krijgsmacht. De zaak is verdeeld.,['Jongeren reageren'],['De zaak is'],2,15,1,[0.8235294117647058],0.82,ad
seq2-0,small,"Netbeheerder Tennet heeft met de aanleg van een stroomkabel mogelijk onomkeerbare schade aangebracht aan kwetsbare natuur op landgoed Twickel, concludeerde de provincie Overijssel donderdag.","<extra_id_0> de aanleg van een stroomkabel mogelijk onomkeerbare schade aangebracht aan kwetsbare natuur op landgoed Twickel, concludeerde de provincie Overijssel donderdag.","over de aanleg van een stroomkabel mogelijk onomkeerbare schade aangebracht aan kwetsbare natuur op landgoed Twickel, concludeerde de provincie Overijssel donderdag.",['Netbeheerder Tennet heeft met'],['over'],4,15,1,[0.9310344827586207],0.93,ad
seq3-0,small,Noord-Korea is weer begonnen met het versturen van ballonnen met afval naar Zuid-Korea. In en rond Seoul en in de grensstreek werden zondagochtend tientallen ballonnen gevonden. In reactie zet Zuid-Korea de grote luidsprekers bij de grens weer aan en zullen nieuwsuitzendingen en popmuziek de grens over schallen.,Noord-Korea is weer begonnen met het versturen van ballonnen met afval naar Zuid-Korea. In en rond Seoul en in de grensstreek werden zondagochtend tientallen ballonnen gevonden. In reactie zet Zuid-Korea de grote <extra_id_0> grens weer aan en zullen nieuwsuitzendingen en <extra_id_1> schallen.,Noord-Korea is weer begonnen met het versturen van ballonnen met afval naar Zuid-Korea. In en rond Seoul en in de grensstreek werden zondagochtend tientallen ballonnen gevonden. In reactie zet Zuid-Korea de grote grens weer aan en zullen nieuwsuitzendingen en berichten schallen.,"['luidsprekers bij de', 'popmuziek de grens over']","['', 'berichten']",7,15,1,"[1.0, 0.8695652173913043]",0.93,ad
seq4-0,small,"Voor de energietransitie zijn grote hoeveelheden metalen nodig, zoals nikkel. Planten kunnen daarbij helpen. Er worden steeds meer soorten ontdekt die zulke metalen uit de grond opnemen.",Voor de energietransitie zijn grote hoeveelheden metalen <extra_id_0> kunnen daarbij helpen. Er worden steeds meer soorten ontdekt die zulke metalen uit de grond opnemen.,Voor de energietransitie zijn grote hoeveelheden metalen te koop en kunnen daarbij helpen. Er worden steeds meer soorten ontdekt die zulke metalen uit de grond opnemen.,"['nodig', 'zoals nikkel. Planten']",['te koop en'],4,15,1,[0.9],0.9,ad
seq5-0,small,De eindexamens in het voortgezet onderwijs zijn begonnen. De Volkskrant doet de komende weken verslag. Historicus Maarten van Rossem buigt zich over het vwo-examen geschiedenis.,De eindexamens in het <extra_id_0> De Volkskrant doet de komende weken verslag. Historicus Maarten van Rossem buigt zich over het vwo-examen geschiedenis.,De eindexamens in het vwo-examen De Volkskrant doet de komende weken verslag. Historicus Maarten van Rossem buigt zich over het vwo-examen geschiedenis.,['voortgezet onderwijs zijn begonnen.'],['vwo-examen'],4,15,1,[0.8571428571428571],0.86,ad
seq6-0,small,"Ik sta op zaterdagmiddag rond 13.00 uur midden op de Amsterdamse Kalverstraat. Het moet een van de drukste plekken van het land zijn, en ik kijk door de lens van de camera van een professional, die allerlei lenzen tevoorschijn kan toveren.","Ik sta op zaterdagmiddag rond 13.00 uur midden op de Amsterdamse Kalverstraat. Het moet een van de drukste plekken van het land zijn, <extra_id_0> door de <extra_id_1> camera van een professional, die allerlei lenzen tevoorschijn kan toveren.","Ik sta op zaterdagmiddag rond 13.00 uur midden op de Amsterdamse Kalverstraat. Het moet een van de drukste plekken van het land zijn, omdat door de digitale camera van een professional, die allerlei lenzen tevoorschijn kan toveren.","['en ik kijk', 'lens van de']","['omdat', 'digitale']",6,15,1,"[1.0, 0.8181818181818182]",0.91,ad
seq7-0,small,"Carlos Alcaraz heeft voor het eerst in zijn carrire Roland Garros gewonnen. De 21-jarige Spanjaard won de bloedstollende vijfsetter (3-6, 6-2, 7-5, 1-6, 2-6) van Alexander Zverev en trok daarmee de ongeslagen reeks in finales door.","Carlos Alcaraz heeft voor het eerst <extra_id_0> Roland <extra_id_1> De 21-jarige Spanjaard won de bloedstollende vijfsetter (3-6, 6-2, 7-5, 1-6, 2-6) van Alexander Zverev en trok daarmee de ongeslagen reeks in finales door.","Carlos Alcaraz heeft voor het eerst de Roland Garros-reeks. De 21-jarige Spanjaard won de bloedstollende vijfsetter (3-6, 6-2, 7-5, 1-6, 2-6) van Alexander Zverev en trok daarmee de ongeslagen reeks in finales door.","['in zijn carrire', 'Garros gewonnen.']","['de', 'Garros-reeks.']",5,15,1,"[0.9333333333333333, 0.5]",0.72,ad
seq8-0,small,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie voor de ongeveer 120 gijzelaars die nog vastzitten?,Met een spectaculaire reddingsoperatie wist <extra_id_0> leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie <extra_id_1> 120 gijzelaars die nog vastzitten?,Met een spectaculaire reddingsoperatie wist het leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie voor 120 gijzelaars die nog vastzitten?,"['het Isralische', 'voor de ongeveer']","['het', 'voor']",5,15,1,"[0.7857142857142857, 0.75]",0.77,ad
seq9-0,small,"Het hoofdlijnenakkoord van het kabinet-in-wording begint met een gedicht. Nederland is een prachtig land./ Een land om trots op te zijn. En zo gaat het nog een beetje door, totdat er onverwacht een lange zin volgt.",Het hoofdlijnenakkoord van het kabinet-in-wording begint met een gedicht. Nederland is een prachtig land./ Een land om trots op te zijn. En zo gaat het nog een <extra_id_0> er <extra_id_1> lange zin volgt.,Het hoofdlijnenakkoord van het kabinet-in-wording begint met een gedicht. Nederland is een prachtig land./ Een land om trots op te zijn. En zo gaat het nog een er een lange zin volgt.,"['beetje door', 'totdat', 'onverwacht een']","['', 'een']",5,15,1,"[1.0, 1.0]",1.0,ad
