Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Masking percentage,Duplicate count
Na een kletsnatte maandag volgt een veelal wisselvallige en frisse week. Aangezien we midden in de piek van het hooikoortsseizoen zitten is dat goed nieuws voor hooikoortspatinten.,Na een kletsnatte maandag volgt een <extra_id_0> frisse week. Aangezien we midden in de piek <extra_id_1> zitten is dat <extra_id_2> voor hooikoortspatinten.,"['veelal wisselvallige en', 'van het hooikoortsseizoen', 'goed nieuws']",8,30.0,1
"Was aan de lijn is een levend kunstwerk. De was heeft een vaste volgorde, groot bij groot, soort bij soort, sok bij sok, kleur bij kleur. Daarbinnen kan alles. Een jurk in de wind heeft het drukdrukdruk, een overall spartelt of hij wordt gekieteld, een laken speelt spookje. Wasgoed heeft lust tot leven.","Was aan de lijn is een levend kunstwerk. De was heeft een <extra_id_0> bij groot, soort bij soort, sok bij <extra_id_1> kleur. Daarbinnen kan alles. Een jurk <extra_id_2> heeft het drukdrukdruk, een overall spartelt of hij wordt <extra_id_3> spookje. <extra_id_4> tot leven.","['vaste volgorde, groot', 'sok, kleur bij', 'in de wind', 'gekieteld, een laken speelt', 'Wasgoed heeft lust']",16,30.0,1
"Sinds Raemon Sluiter de Oekraense Elina Svitolina coacht, heeft zijn baan een andere betekenis. Voor ons geldt: wij ontkomen er niet aan, de oorlog en de verdere wereld is dagelijkse realiteit.","Sinds Raemon Sluiter de Oekraense Elina Svitolina coacht, <extra_id_0> een andere <extra_id_1> geldt: wij ontkomen er niet aan, <extra_id_2> de verdere wereld is dagelijkse realiteit.","['heeft zijn baan', 'betekenis. Voor ons', 'de oorlog en']",9,30.0,1
"Was aan de lijn is een levend kunstwerk. De was heeft een vaste volgorde, groot bij groot, soort bij soort, sok bij sok, kleur bij kleur.","Was aan de lijn is <extra_id_0> De was heeft een vaste volgorde, groot bij groot, soort bij soort, <extra_id_1> sok, <extra_id_2>","['een levend kunstwerk.', 'sok bij', 'kleur bij kleur.']",8,30.0,1
"Vanaf deze zomer kan er gesurft worden in een gracht, in hartje Rotterdam. Al kwam Rif010 niet zonder slag of stoot tot stand.","Vanaf deze zomer kan er <extra_id_0> gracht, in hartje Rotterdam. Al <extra_id_1> zonder slag of stoot tot stand.","['gesurft worden in een', 'kwam Rif010 niet']",7,30.0,1
"Theo Heuft, oprichter van Yab Yum, de roemruchte Amsterdamse seksclub in een 17e-eeuws grachtenpand, is op 89-jarige leeftijd overleden.","Theo Heuft, oprichter <extra_id_0> de roemruchte Amsterdamse seksclub in <extra_id_1> is op 89-jarige leeftijd overleden.","['van Yab Yum,', 'een 17e-eeuws grachtenpand,']",6,30.0,1
"OpenAI, het bedrijf achter ChatGPT, schort een AI-stem op die sterk aan de stem van actrice Scarlett Johansson doet denken.","OpenAI, het <extra_id_0> schort een AI-stem op die sterk aan de stem van actrice <extra_id_1> denken.","['bedrijf achter ChatGPT,', 'Scarlett Johansson doet']",6,30.0,1
"Voor het eerst sinds hij twee jaar geleden de troon besteeg, kunnen Britten de hand leggen op een papieren koning Charles III van het Verenigd Koninkrijk.","Voor het eerst <extra_id_0> twee <extra_id_1> troon besteeg, <extra_id_2> hand leggen op een papieren koning Charles III van het Verenigd Koninkrijk.","['sinds hij', 'jaar geleden de', 'kunnen Britten de']",8,30.0,1
"Film- en serieliefhebbers zijn steeds meer geld kwijt aan streamingdiensten als Netflix, Videoland en Disney Plus. Nu de diensten een plek op de Nederlandse markt veroverd hebben, zoeken ze naar andere manieren om hun inkomsten op te krikken.","Film- en serieliefhebbers zijn steeds meer geld kwijt aan <extra_id_0> Videoland <extra_id_1> Plus. Nu de diensten een plek op de Nederlandse markt veroverd hebben, zoeken <extra_id_2> manieren om <extra_id_3> te krikken.","['streamingdiensten als Netflix,', 'en Disney', 'ze naar andere', 'hun inkomsten op']",11,30.0,1
"De formerende partijen hebben een akkoord bereikt over de verdeling van de ministerposten in het kabinet-Schoof. Dat laat PVV-leider Geert Wilders dinsdag weten: We zijn eruit. Goed nieuws, de rest horen jullie later. Naar verwachting begint formateur Richard van Zwol nog deze week met het ontvangen van de kandidaat-bewindslieden.","De formerende partijen hebben een akkoord bereikt over de verdeling van de ministerposten in het kabinet-Schoof. Dat <extra_id_0> Wilders dinsdag weten: We zijn eruit. Goed nieuws, <extra_id_1> jullie later. Naar verwachting begint formateur Richard <extra_id_2> deze <extra_id_3> ontvangen <extra_id_4>","['laat PVV-leider Geert', 'de rest horen', 'van Zwol nog', 'week met het', 'van de kandidaat-bewindslieden.']",15,30.0,1
