Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Masking percentage,Duplicate count
Miljoenen Afghanen leven onder de armoedegrens. Buitenlandse donoren bieden weinig hulp omdat de Taliban vrouwenrechten drastisch beperkten. Vermindering van de internationale hulp zal dezelfde Afghaanse vrouwen die we hopen te steunen alleen maar meer laten lijden.,Miljoenen Afghanen <extra_id_0> armoedegrens. Buitenlandse donoren bieden weinig hulp omdat de Taliban vrouwenrechten drastisch beperkten. Vermindering van de internationale hulp zal <extra_id_1> die we <extra_id_2> alleen maar meer laten lijden.,"['leven onder de', 'dezelfde Afghaanse vrouwen', 'hopen te steunen']",9,25.0,1
Defensie voert de druk op om te dienen bij de krijgsmacht. Jongeren reageren verdeeld.,Defensie voert de druk <extra_id_0> bij de krijgsmacht. Jongeren reageren verdeeld.,['op om te dienen'],4,25.0,1
"Netbeheerder Tennet heeft met de aanleg van een stroomkabel mogelijk onomkeerbare schade aangebracht aan kwetsbare natuur op landgoed Twickel, concludeerde de provincie Overijssel donderdag.","Netbeheerder Tennet heeft met de aanleg van een stroomkabel mogelijk <extra_id_0> aan kwetsbare natuur op landgoed Twickel, <extra_id_1> Overijssel donderdag.","['onomkeerbare schade aangebracht', 'concludeerde de provincie']",6,25.0,1
Noord-Korea is weer begonnen met het versturen van ballonnen met afval naar Zuid-Korea. In en rond Seoul en in de grensstreek werden zondagochtend tientallen ballonnen gevonden. In reactie zet Zuid-Korea de grote luidsprekers bij de grens weer aan en zullen nieuwsuitzendingen en popmuziek de grens over schallen.,Noord-Korea is weer begonnen met het versturen van ballonnen met afval naar Zuid-Korea. In en rond Seoul en in de grensstreek werden <extra_id_0> gevonden. <extra_id_1> Zuid-Korea de grote luidsprekers bij <extra_id_2> aan <extra_id_3> en popmuziek de grens over schallen.,"['zondagochtend tientallen ballonnen', 'In reactie zet', 'de grens weer', 'en zullen nieuwsuitzendingen']",12,25.0,1
"Voor de energietransitie zijn grote hoeveelheden metalen nodig, zoals nikkel. Planten kunnen daarbij helpen. Er worden steeds meer soorten ontdekt die zulke metalen uit de grond opnemen.","Voor de energietransitie zijn grote hoeveelheden metalen nodig, zoals nikkel. Planten kunnen daarbij helpen. Er worden steeds meer soorten <extra_id_0> uit <extra_id_1>","['ontdekt die zulke metalen', 'de grond opnemen.']",7,25.0,1
De eindexamens in het voortgezet onderwijs zijn begonnen. De Volkskrant doet de komende weken verslag. Historicus Maarten van Rossem buigt zich over het vwo-examen geschiedenis.,De eindexamens in het <extra_id_0> begonnen. De Volkskrant doet de komende weken verslag. Historicus Maarten <extra_id_1> zich over het vwo-examen geschiedenis.,"['voortgezet onderwijs zijn', 'van Rossem buigt']",6,25.0,1
"Ik sta op zaterdagmiddag rond 13.00 uur midden op de Amsterdamse Kalverstraat. Het moet een van de drukste plekken van het land zijn, en ik kijk door de lens van de camera van een professional, die allerlei lenzen tevoorschijn kan toveren.","Ik sta op zaterdagmiddag rond 13.00 uur midden op de Amsterdamse <extra_id_0> een van de drukste plekken van het land zijn, en ik kijk door de lens <extra_id_1> een professional, die allerlei <extra_id_2> toveren.","['Kalverstraat. Het moet', 'van de camera van', 'lenzen tevoorschijn kan']",10,25.0,1
"Carlos Alcaraz heeft voor het eerst in zijn carrire Roland Garros gewonnen. De 21-jarige Spanjaard won de bloedstollende vijfsetter (3-6, 6-2, 7-5, 1-6, 2-6) van Alexander Zverev en trok daarmee de ongeslagen reeks in finales door.","Carlos Alcaraz heeft voor het eerst in zijn carrire Roland Garros gewonnen. De 21-jarige Spanjaard won <extra_id_0> (3-6, 6-2, 7-5, 1-6, 2-6) <extra_id_1> en <extra_id_2> ongeslagen reeks in finales door.","['de bloedstollende vijfsetter', 'van Alexander Zverev', 'trok daarmee de']",9,25.0,1
Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie voor de ongeveer 120 gijzelaars die nog vastzitten?,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars <extra_id_0> prijs aan Palestijnse zijde is echter ongekend <extra_id_1> deze actie voor de ongeveer 120 gijzelaars die <extra_id_2>,"['te bevrijden. De', 'hoog. Wat betekent', 'nog vastzitten?']",8,25.0,1
"Het hoofdlijnenakkoord van het kabinet-in-wording begint met een gedicht. Nederland is een prachtig land./ Een land om trots op te zijn. En zo gaat het nog een beetje door, totdat er onverwacht een lange zin volgt.",Het hoofdlijnenakkoord van het <extra_id_0> een gedicht. <extra_id_1> prachtig land./ Een land om trots op te zijn. En zo gaat het nog een beetje <extra_id_2> onverwacht een lange zin volgt.,"['kabinet-in-wording begint met', 'Nederland is een', 'door, totdat er']",9,25.0,1
