Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Masking percentage,Duplicate count
Na een kletsnatte maandag volgt een veelal wisselvallige en frisse week. Aangezien we midden in de piek van het hooikoortsseizoen zitten is dat goed nieuws voor hooikoortspatinten.,Na een kletsnatte maandag volgt een veelal wisselvallige <extra_id_0> we midden in de piek van <extra_id_1> is dat goed nieuws voor hooikoortspatinten.,"['en frisse week. Aangezien', 'het hooikoortsseizoen zitten']",7,25.0,1
"Was aan de lijn is een levend kunstwerk. De was heeft een vaste volgorde, groot bij groot, soort bij soort, sok bij sok, kleur bij kleur. Daarbinnen kan alles. Een jurk in de wind heeft het drukdrukdruk, een overall spartelt of hij wordt gekieteld, een laken speelt spookje. Wasgoed heeft lust tot leven.","Was aan de lijn is een levend kunstwerk. De was heeft een <extra_id_0> bij groot, soort bij <extra_id_1> kleur bij kleur. Daarbinnen kan alles. Een jurk in de wind heeft het drukdrukdruk, een overall spartelt of hij <extra_id_2> laken speelt <extra_id_3> lust tot leven.","['vaste volgorde, groot', 'soort, sok bij sok,', 'wordt gekieteld, een', 'spookje. Wasgoed heeft']",13,25.0,1
"Sinds Raemon Sluiter de Oekraense Elina Svitolina coacht, heeft zijn baan een andere betekenis. Voor ons geldt: wij ontkomen er niet aan, de oorlog en de verdere wereld is dagelijkse realiteit.","Sinds Raemon Sluiter de Oekraense Elina Svitolina coacht, heeft zijn baan een andere betekenis. Voor ons geldt: wij <extra_id_0> aan, de <extra_id_1> de verdere <extra_id_2> realiteit.","['ontkomen er niet', 'oorlog en', 'wereld is dagelijkse']",8,25.0,1
"Was aan de lijn is een levend kunstwerk. De was heeft een vaste volgorde, groot bij groot, soort bij soort, sok bij sok, kleur bij kleur.","Was aan de lijn is een levend kunstwerk. De was heeft een vaste volgorde, groot bij groot, soort bij <extra_id_0> sok, <extra_id_1>","['soort, sok bij', 'kleur bij kleur.']",6,25.0,1
"Vanaf deze zomer kan er gesurft worden in een gracht, in hartje Rotterdam. Al kwam Rif010 niet zonder slag of stoot tot stand.","<extra_id_0> kan er gesurft <extra_id_1> gracht, in hartje Rotterdam. Al kwam Rif010 niet zonder slag of stoot tot stand.","['Vanaf deze zomer', 'worden in een']",6,25.0,1
"Theo Heuft, oprichter van Yab Yum, de roemruchte Amsterdamse seksclub in een 17e-eeuws grachtenpand, is op 89-jarige leeftijd overleden.","Theo Heuft, oprichter van Yab Yum, de roemruchte Amsterdamse seksclub <extra_id_0> 17e-eeuws grachtenpand, is <extra_id_1> overleden.","['in een', 'op 89-jarige leeftijd']",5,25.0,1
"OpenAI, het bedrijf achter ChatGPT, schort een AI-stem op die sterk aan de stem van actrice Scarlett Johansson doet denken.","OpenAI, het bedrijf achter ChatGPT, schort een AI-stem op die sterk aan de stem <extra_id_0> Scarlett <extra_id_1>","['van actrice', 'Johansson doet denken.']",5,25.0,1
"Voor het eerst sinds hij twee jaar geleden de troon besteeg, kunnen Britten de hand leggen op een papieren koning Charles III van het Verenigd Koninkrijk.","Voor het eerst sinds hij twee jaar geleden de troon besteeg, kunnen Britten de hand leggen <extra_id_0> koning Charles <extra_id_1> Verenigd Koninkrijk.","['op een papieren', 'III van het']",6,25.0,1
"Film- en serieliefhebbers zijn steeds meer geld kwijt aan streamingdiensten als Netflix, Videoland en Disney Plus. Nu de diensten een plek op de Nederlandse markt veroverd hebben, zoeken ze naar andere manieren om hun inkomsten op te krikken.","<extra_id_0> steeds meer geld kwijt aan streamingdiensten als Netflix, Videoland en Disney Plus. Nu de diensten een plek op de Nederlandse markt veroverd hebben, zoeken ze naar <extra_id_1> hun <extra_id_2> krikken.","['Film- en serieliefhebbers zijn', 'andere manieren om', 'inkomsten op te']",10,25.0,1
"De formerende partijen hebben een akkoord bereikt over de verdeling van de ministerposten in het kabinet-Schoof. Dat laat PVV-leider Geert Wilders dinsdag weten: We zijn eruit. Goed nieuws, de rest horen jullie later. Naar verwachting begint formateur Richard van Zwol nog deze week met het ontvangen van de kandidaat-bewindslieden.","De formerende partijen hebben een akkoord bereikt over de verdeling van de ministerposten in het kabinet-Schoof. Dat laat PVV-leider <extra_id_0> weten: We zijn eruit. Goed nieuws, de rest horen jullie later. Naar verwachting <extra_id_1> van <extra_id_2> week met het <extra_id_3> kandidaat-bewindslieden.","['Geert Wilders dinsdag', 'begint formateur Richard', 'Zwol nog deze', 'ontvangen van de']",12,25.0,1
"Ze zorgen al lange tijd voor grote problemen op verschillende plekken in Utrecht: drugsgebruikers op straat. Vorig jaar zorgden zon 120 verslaafden op het Lucasbolwerk voor overlast, maar nadat daar maatregelen werden genomen, verplaatste de groep zich naar Park Lepelenburg.","Ze zorgen al lange tijd voor grote problemen op verschillende plekken in <extra_id_0> straat. Vorig jaar zorgden zon 120 verslaafden op het Lucasbolwerk voor overlast, maar nadat <extra_id_1> verplaatste de groep zich <extra_id_2>","['Utrecht: drugsgebruikers op', 'daar maatregelen werden genomen,', 'naar Park Lepelenburg.']",10,25.0,1
"Het campagneteam van de Amerikaanse president Joe Biden heeft een nieuwe vacature: een meme-manager, die moet zorgen dat filmpjes en fotos die Biden aantrekkelijk maken voor jongeren viraal gaan.","Het campagneteam <extra_id_0> Joe Biden heeft <extra_id_1> een meme-manager, die moet zorgen dat filmpjes en fotos die Biden aantrekkelijk maken voor jongeren viraal gaan.","['van de Amerikaanse president', 'een nieuwe vacature:']",7,25.0,1
"Hoe weet je of je bij de groep hoort die te veel betaalt voor een zorgverzekering? Meer dan de helft van de Nederlanders betaalt namelijk onnodig veel, blijkt uit onderzoek. Wat kun je hier tegen doen? Vijf veelgestelde vragen en antwoorden. ,,Veel mensen kiezen voor gemak en komen dan op een dure polis uit.","Hoe weet je of je bij de groep hoort die te veel betaalt voor een zorgverzekering? Meer dan de helft <extra_id_0> Nederlanders betaalt namelijk onnodig veel, blijkt uit onderzoek. <extra_id_1> hier <extra_id_2> veelgestelde vragen en antwoorden. ,,Veel mensen <extra_id_3> en komen dan op <extra_id_4> uit.","['van de', 'Wat kun je', 'tegen doen? Vijf', 'kiezen voor gemak', 'een dure polis']",14,25.0,1
"OpenAI, het bedrijf achter ChatGPT, schort een AI-stem op die sterk aan de stem van actrice Scarlett Johansson doet denken. Het bedrijf lijkt iets te veel inspiratie te hebben geput uit de film Her, waarvoor Johansson de stem van computersysteem Samantha insprak.","OpenAI, het bedrijf achter ChatGPT, schort een AI-stem op die sterk aan de stem van actrice Scarlett Johansson doet denken. Het <extra_id_0> veel inspiratie te hebben geput <extra_id_1> Her, waarvoor Johansson de stem <extra_id_2> insprak.","['bedrijf lijkt iets te', 'uit de film', 'van computersysteem Samantha']",10,25.0,1
