Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Masking percentage,Duplicate count
Je gaat het pas zien als je het doorhebt.* Wieteke van Zeil over opmerkelijke en veelbetekenende bijzaken in de beeldende kunst. Deze week:,Je gaat het pas zien als je <extra_id_0> Wieteke <extra_id_1> opmerkelijke en veelbetekenende bijzaken in de beeldende kunst. Deze week:,"['het doorhebt.*', 'van Zeil over']",5,20.0,20
"In razend tempo volgen de nieuwe bandjes, beloftes en platen-die-je-geluisterd-moet-hebben elkaar op. In de rubriek Luie Luisteraar loodst Volkskrant.nl je elke week door de nieuwste releases en selecteert de drie platen die je niet mag missen. Deze week:","In razend tempo volgen de nieuwe bandjes, beloftes en platen-die-je-geluisterd-moet-hebben elkaar op. In de rubriek Luie <extra_id_0> je elke week door de nieuwste releases <extra_id_1> drie platen die je niet mag <extra_id_2> week:","['Luisteraar loodst Volkskrant.nl', 'en selecteert de', 'missen. Deze']",8,20.0,19
| De Volkskrant Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,| De Volkskrant Wat zullen we eens <extra_id_0> in de Volkskrant een verrassend recept. Vandaag:,['eten vanavond? Iedere dag'],4,20.0,19
Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert <extra_id_0> van Kuijk. Deze week:,['(en cabaretier) Jasper'],3,20.0,18
Denkfouten in het hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,Denkfouten in het hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) <extra_id_0> Deze week:,['Jasper van Kuijk.'],3,20.0,18
Wat betekent het om nu vrouw te zijn? In een reeks interviews stelt de Volkskrant die kwestie aan de orde.,Wat betekent het om nu vrouw te zijn? In een reeks interviews stelt <extra_id_0> aan de orde.,['de Volkskrant die kwestie'],4,20.0,17
"Volkskrant.nl zet elke zondag de leukste, handigste en meest informatieve apps voor u op een rijtje. Deze week:","Volkskrant.nl zet elke zondag de leukste, handigste en meest <extra_id_0> op een rijtje. Deze week:",['informatieve apps voor u'],4,20.0,16
"Wekelijks nemen de cultuurspecialisten van de Volkskrant stelling in de wereld van film, muziek, theater of beeldende kunst. Deze week:","Wekelijks nemen de cultuurspecialisten van de Volkskrant stelling in de wereld van film, muziek, theater of <extra_id_0>",['beeldende kunst. Deze week:'],4,20.0,15
"Ook zon hekel aan onnodig Engels? Help ons dan aan bruikbare, Nederlandse alternatieven. Zoals voor",Ook zon hekel aan onnodig Engels? Help ons <extra_id_0> Nederlandse alternatieven. Zoals voor,"['dan aan bruikbare,']",3,20.0,15
"Kookboekenmaker, kok en illustrator Yvette van Boven maakt een seizoensrecept plus een recept om de restjes op te maken. Deze week:","Kookboekenmaker, kok en <extra_id_0> maakt een seizoensrecept plus een recept om de restjes op te maken. Deze week:",['illustrator Yvette van Boven'],4,20.0,15
