Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Masking percentage,Duplicate count
dagen zijn de gemeenteraadsverkiezingen. Schrijf je in om deze politieke nieuwsbrief per mail te ontvangen.,dagen zijn <extra_id_0> je in om deze politieke nieuwsbrief per mail te ontvangen.,['de gemeenteraadsverkiezingen. Schrijf'],3,20.0,23
Problemen met bedrijven en overheidsdiensten? Help@NRC gaat elke woensdag op zoek naar antwoorden. Vandaag:,Problemen met bedrijven en overheidsdiensten? Help@NRC gaat <extra_id_0> zoek naar antwoorden. Vandaag:,['elke woensdag op'],3,20.0,22
van de formatie. Schrijf je in voor De Haagse Stemming om deze (di-do-za) als nieuwsbrief te ontvangen.,van de formatie. Schrijf je in voor De Haagse Stemming <extra_id_0> als nieuwsbrief te ontvangen.,['om deze (di-do-za)'],3,20.0,20
<BR> Land: Thailand<BR> Opgeist door: Niet opgeist<BR> Aantal doden: 1<BR> Aantal gewonden: 0<BR> Methode: moordaanslag<BR> Plaats:,<BR> <extra_id_0> door: Niet opgeist<BR> Aantal doden: 1<BR> Aantal gewonden: 0<BR> Methode: moordaanslag<BR> Plaats:,['Land: Thailand<BR> Opgeist'],3,20.0,20
Pieter Steinz heeft de spierziekte ALS en verbindt het verloop van zijn ziekte met de boeken die hij (her)leest. Deze week:,Pieter Steinz heeft de spierziekte ALS en verbindt het verloop van <extra_id_0> boeken die hij (her)leest. Deze week:,['zijn ziekte met de'],4,20.0,18
"/ The Kobal Collection ] Editorial use only related to cinema, television and personalities. Not for cover use, advertising or fictional works without specific prior agreement The Picture Desk","/ The Kobal Collection ] Editorial use <extra_id_0> cinema, television and personalities. <extra_id_1> use, advertising or fictional works without specific prior agreement The Picture Desk","['only related to', 'Not for cover']",6,20.0,17
Deze rubriek belicht elke dinsdag kwesties uit het bedrijfsleven waarover de rechter zich onlangs uitsprak. Vandaag:,Deze rubriek belicht elke dinsdag kwesties uit het bedrijfsleven <extra_id_0> zich onlangs uitsprak. Vandaag:,['waarover de rechter'],3,20.0,16
? Onderaan dit artikel kunnen abonnees op die vraag reageren. Hier vind je meer over reageren op NRC.nl.,<extra_id_0> kunnen abonnees op die vraag reageren. Hier vind je meer over reageren op NRC.nl.,['? Onderaan dit artikel'],4,20.0,15
dagen op het integriteitsonderzoek naar Wybren van Haga. Schrijf je in om deze politieke nieuwsbrief per mail te ontvangen.,<extra_id_0> naar Wybren van Haga. Schrijf je in om deze politieke nieuwsbrief per mail te ontvangen.,['dagen op het integriteitsonderzoek'],4,20.0,14
Wat zijn de kleine verhalen waar de moderne mens in gelooft? Wekelijks vertelt Arjen van Veelen zon moderne mythe. Vandaag:,Wat zijn de kleine verhalen waar de moderne mens <extra_id_0> Arjen van Veelen zon moderne mythe. Vandaag:,['in gelooft? Wekelijks vertelt'],4,20.0,13
