Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Masking percentage,Duplicate count
.  Thijmen Geluk SalarisHoeveel verdien je? Dat vragen we elke week aan een Nederlander. Vandaag:,. Thijmen Geluk SalarisHoeveel verdien je? Dat vragen <extra_id_0> aan een Nederlander. Vandaag:,['we elke week'],3,20.0,19
Meld je aan voor de AD sportnieuwsbrief en ontvang dagelijks een overzicht van het belangrijkste sportnieuws,Meld je aan voor de AD sportnieuwsbrief <extra_id_0> een overzicht van het belangrijkste sportnieuws,['en ontvang dagelijks'],3,20.0,16
Fotograaf Nico Brons en verslaggever Wichard Maassen nemen wekelijks een kijkje achter het nieuws. Vandaag:,Fotograaf Nico Brons en verslaggever <extra_id_0> wekelijks een kijkje achter het nieuws. Vandaag:,['Wichard Maassen nemen'],3,20.0,16
"Tip van de BaasWie beter dan de baas weet hoe het werkt op de werkvloer. Hoe je opvalt, wanneer je om meer loon vraagt en wat helpt om verder te komen. Zij geven hn beste tips. Vandaag:","Tip van de BaasWie beter dan de baas weet hoe het werkt op de werkvloer. Hoe je opvalt, wanneer je om meer <extra_id_0> wat helpt om verder te komen. Zij <extra_id_1> Vandaag:","['loon vraagt en', 'geven hn beste tips.']",7,20.0,14
David en Arjan van 365dagensuccesvol.nl hebben n doel: Nederland het gelukkigste land van de wereld maken.,David en Arjan van 365dagensuccesvol.nl hebben n doel: Nederland <extra_id_0> van de wereld maken.,['het gelukkigste land'],3,20.0,14
"De Nations League, de nieuwe Europese competitie voor landenteams, is de derde competitieronde ingegaan. Dit is het programma in League A en League B van deze en volgende week. Ook vermelden we hier komende week alle uitslagen, de stand n het programma van de belangrijkste oefeninterlands.","De Nations League, de nieuwe Europese competitie voor landenteams, is de derde competitieronde ingegaan. Dit is het programma in League A en League B van deze en volgende week. Ook vermelden <extra_id_0> week alle uitslagen, de <extra_id_1> programma <extra_id_2> oefeninterlands.","['we hier komende', 'stand n het', 'van de belangrijkste']",9,20.0,14
"Het seizoen 2017-2018 is nog niet eens afgelopen, maar de voetbalwereld kijkt al volop naar het nieuwe seizoen. In onze TransferTalk houden we komende zomer alle geruchten en voltooide transfers bij.","Het seizoen 2017-2018 is nog niet eens afgelopen, maar de voetbalwereld kijkt al volop naar het nieuwe seizoen. <extra_id_0> houden we komende zomer alle geruchten <extra_id_1> bij.","['In onze TransferTalk', 'en voltooide transfers']",6,20.0,13
"De beeldredactie ziet dagelijks duizenden nieuwsfotos. In deze rubriek worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de beelden om deze te vergroten en er doorheen te bladeren. 1","De beeldredactie ziet dagelijks duizenden <extra_id_0> worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de beelden om deze te vergroten en er <extra_id_1> 1","['nieuwsfotos. In deze rubriek', 'doorheen te bladeren.']",7,20.0,12
"Wijsheid komt met de jaren. Omdat acteur Joost Prinsen (77) een eind op weg is, beantwoordt hij uw vragen.",Wijsheid komt met de jaren. Omdat acteur Joost Prinsen (77) een eind op <extra_id_0> uw vragen.,"['weg is, beantwoordt hij']",4,20.0,12
"De transfermarkt draait op volle toeren, maar veel clubs hebben al meerdere aanwinsten al binnen. In dit overzicht houden we alle inkomende en uitgaande transfers van de eredivisieclubs van deze zomer bij.","De transfermarkt draait op volle toeren, maar veel clubs hebben al meerdere aanwinsten al <extra_id_0> overzicht <extra_id_1> inkomende en uitgaande transfers van de eredivisieclubs van deze zomer bij.","['binnen. In dit', 'houden we alle']",6,20.0,12
