Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Masking percentage,Duplicate count
"In de rubriek Aan de grens bericht De Groene over de laatste cijfers en ontwikkelingen op het gebied van vluchtelingen, migranten en grensbeleid. Deze week:","In de rubriek Aan de grens bericht De <extra_id_0> laatste cijfers <extra_id_1> het <extra_id_2> vluchtelingen, migranten en grensbeleid. Deze week:","['Groene over de', 'en ontwikkelingen op', 'gebied van']",8,30.0,24
In zijn Kleine encyclopedie schetst Herman Vuijsje nieuwe inzichten over Nederland aan de hand van neologismen. Deze week:,In zijn Kleine encyclopedie schetst Herman Vuijsje <extra_id_0> over Nederland aan de hand van <extra_id_1>,"['nieuwe inzichten', 'neologismen. Deze week:']",5,30.0,17
 altijd meer dan ze kan of wil bespreken. Hier doet ze verslag van haar bevindingen en overwegingen bij de boeken die ze leest. Deze week:,altijd meer dan ze kan of wil bespreken. <extra_id_0> verslag van haar bevindingen <extra_id_1> bij <extra_id_2> ze leest. Deze week:,"['Hier doet ze', 'en overwegingen', 'de boeken die']",8,30.0,14
"De zomerslaap is voorbij, het politieke seizoen is begonnen. De enige die gedurende de lange, landerige zomer nog voor politieke opwinding wist te zorgen, was Frits Bolkestein. Of het nu een tv-optreden bij de VPRO was of een toespraak op een theaterfestival, de VVD-leider stond steeds weer in het nieuws. Met hem opent De Groene daarom het nieuwe politieke jaar.","De zomerslaap is voorbij, het politieke seizoen is begonnen. De enige die gedurende de lange, landerige zomer nog voor politieke opwinding wist te zorgen, <extra_id_0> Of het nu een tv-optreden bij de VPRO was <extra_id_1> op een theaterfestival, de VVD-leider <extra_id_2> in <extra_id_3> hem opent <extra_id_4> het <extra_id_5>","['was Frits Bolkestein.', 'of een toespraak', 'stond steeds weer', 'het nieuws. Met', 'De Groene daarom', 'nieuwe politieke jaar.']",18,30.0,12
Groene-redacteur Casper Thomas schrijft vanuit Washington over het Amerika van Donald Trump. In aflevering,Groene-redacteur Casper <extra_id_0> over het Amerika van Donald Trump. In aflevering,['Thomas schrijft vanuit Washington'],4,30.0,11
De vaste kunstcritici van De Groene Amsterdammer selecteerden de meest in het oog springende cultuur van het nieuwe kunstseizoen. Tip,De vaste kunstcritici van De Groene <extra_id_0> meest in <extra_id_1> cultuur van het nieuwe kunstseizoen. Tip,"['Amsterdammer selecteerden de', 'het oog springende']",6,30.0,11
. Onze podcast is elke vrijdagochtend gratis beschikbaar via groene.nl/podcasts en via de andere bekende podcastkanalen,. Onze podcast is elke <extra_id_0> beschikbaar via groene.nl/podcasts en via <extra_id_1> podcastkanalen,"['vrijdagochtend gratis', 'de andere bekende']",5,30.0,10
Mira Feticu ziet overeenkomsten tussen de quarantaine ten tijde van de coronacrisis en haar leven in dictatoriaal Roemeni. Hoe hield ze zich staande onder het bewind van Ceauescu? Deel,Mira Feticu ziet overeenkomsten tussen de quarantaine ten tijde van de coronacrisis en haar leven <extra_id_0> Hoe hield ze <extra_id_1> het bewind <extra_id_2>,"['in dictatoriaal Roemeni.', 'zich staande onder', 'van Ceauescu? Deel']",9,30.0,10
"Frans Verhagen is lid geworden van de PvdA, want op dit moment in de geschiedenis kun je niet meer blijven toekijken. Deze week:","<extra_id_0> geworden van de PvdA, <extra_id_1> moment in de geschiedenis kun je niet meer blijven toekijken. Deze week:","['Frans Verhagen is lid', 'want op dit']",7,30.0,9
De komende weken zal Menno Grootveld stukken selecteren en vertalen van denkers over corona in de internationale pers. In aflevering,De komende weken zal Menno Grootveld stukken selecteren en vertalen van denkers <extra_id_0> de <extra_id_1> aflevering,"['over corona in', 'internationale pers. In']",6,30.0,9
"Terwijl de pest op de deur klopte, vertelden de Florentijnse jongeren van Giovanni Boccaccio elkaar sterke verhalen over verliefdheid, waanzin en bedrog om de verveling van hun quarantaine te doorbreken. Nu, zevenhonderd jaar later, kunnen we die traditie voortzetten. Verteller nummer","Terwijl de <extra_id_0> deur klopte, vertelden <extra_id_1> van Giovanni Boccaccio elkaar sterke verhalen over verliefdheid, waanzin en bedrog <extra_id_2> van hun quarantaine te doorbreken. Nu, zevenhonderd jaar later, kunnen we <extra_id_3> Verteller nummer","['pest op de', 'de Florentijnse jongeren', 'om de verveling', 'die traditie voortzetten.']",12,30.0,8
Groene-redacteur Casper Thomas schrijft de komende tijd regelmatig vanuit Washington over het Amerika van Donald Trump. In aflevering,Groene-redacteur Casper Thomas schrijft de komende tijd regelmatig vanuit <extra_id_0> Amerika van Donald Trump. <extra_id_1>,"['Washington over het', 'In aflevering']",5,30.0,8
De komende maanden onderzoeken journalisten Hidde Boersma en Janno Lanjouw hoe de Nederlandse landbouw de stap probeert te zetten naar een milieuvriendelijkere toekomst. Deze week:,De komende maanden onderzoeken journalisten <extra_id_0> en Janno <extra_id_1> Nederlandse landbouw de stap probeert te zetten naar een <extra_id_2> week:,"['Hidde Boersma', 'Lanjouw hoe de', 'milieuvriendelijkere toekomst. Deze']",8,30.0,8
"getelde doden en vermisten op de Middellandse Zee was deze week, volgens het Missing Migrants Project (IOM):","<extra_id_0> en vermisten op de Middellandse Zee was deze week, volgens <extra_id_1> Project (IOM):","['getelde doden', 'het Missing Migrants']",5,30.0,7
Ter gelegenheid van het verschijnen van het volledige vertaalde oeuvre van Sigmund Freud in Nederland herleest Hans Driessen,Ter gelegenheid van <extra_id_0> het volledige vertaalde oeuvre van Sigmund Freud in <extra_id_1> Hans Driessen,"['het verschijnen van', 'Nederland herleest']",5,30.0,7
"de aflevering van Boeken FM, de literatuurpodcast van De Groene en uitgeverij Das Mag, bespreken Joost de Vries en Ellen Deckwitz onder leiding van Peter Buurman","de aflevering van Boeken FM, de literatuurpodcast van <extra_id_0> uitgeverij <extra_id_1> bespreken Joost de Vries en Ellen <extra_id_2> van Peter Buurman","['De Groene en', 'Das Mag,', 'Deckwitz onder leiding']",8,30.0,7
"Voor de blog Terug naar Welkom reist journalist Margalith Kleijwegt terug naar het Zuid-Afrikaanse Welkom, een mijnstadje dat ze 27 jaar geleden voor het eerst bezocht samen met fotograaf Ad van Denderen. In deel","Voor de blog Terug naar Welkom reist journalist Margalith Kleijwegt terug naar het Zuid-Afrikaanse Welkom, een <extra_id_0> 27 jaar geleden voor het <extra_id_1> met <extra_id_2> In deel","['mijnstadje dat ze', 'eerst bezocht samen', 'fotograaf Ad van Denderen.']",10,30.0,7
cultuurtips voor dit weekend (en de komende week)  De Groene Amsterdammer Kunst & Cultuur Aanbevolen,cultuurtips voor dit weekend (en de komende week) De Groene <extra_id_0> Aanbevolen,['Amsterdammer Kunst & Cultuur'],4,30.0,6
"zit vol problemen die niemand lijkt te kunnen oplossen. Wie niet goed begrijpt hoe die wereld werkt, is niet gek of dom. Want de wereld s ook complexer, chaotischer en moeilijker te besturen dan voorheen. In een serie interviews laat De Groene","zit vol problemen die niemand <extra_id_0> Wie niet goed <extra_id_1> wereld werkt, is <extra_id_2> dom. Want de wereld s ook complexer, chaotischer en moeilijker te besturen dan voorheen. In een serie <extra_id_3> Groene","['lijkt te kunnen oplossen.', 'begrijpt hoe die', 'niet gek of', 'interviews laat De']",13,30.0,6
"In aanloop naar de gemeenteraadsverkiezingen in Rotterdam, waar zowel alle landelijke politieke partijen als vele nieuwkomers aan deelnemen, bloggen Guido van Eijck en Saskia Naafs over de belangrijkste verkiezingsthemas in de Maasstad.","In aanloop <extra_id_0> in Rotterdam, waar zowel <extra_id_1> partijen als vele nieuwkomers aan deelnemen, bloggen Guido van Eijck en Saskia Naafs over de belangrijkste <extra_id_2>","['naar de gemeenteraadsverkiezingen', 'alle landelijke politieke', 'verkiezingsthemas in de Maasstad.']",10,30.0,6
"virtuele rondleidingen door musea, spontane optredens op Instagram en een enkele all-time favourite van een van onze kunstcritici.","virtuele rondleidingen door musea, spontane <extra_id_0> Instagram en een <extra_id_1> van een van onze kunstcritici.","['optredens op', 'enkele all-time favourite']",5,30.0,6
"Iedere maand selecteert de boekenredactie van De Groene, uit alle in de voorafgaande maand besproken boeken, d","Iedere maand selecteert <extra_id_0> van De <extra_id_1> in de voorafgaande maand besproken boeken, d","['de boekenredactie', 'Groene, uit alle']",5,30.0,6
Marja Pruis leest altijd meer dan ze kan of wil bespreken. Hier doet ze verslag van haar bevindingen en overwegingen bij de boeken die ze leest. Deze week:,Marja Pruis leest altijd meer dan ze kan of wil <extra_id_0> ze verslag van haar bevindingen en overwegingen bij de <extra_id_1> ze <extra_id_2>,"['bespreken. Hier doet', 'boeken die', 'leest. Deze week:']",8,30.0,6
"- ZEER GEHEIM. MINISTERRAAD NR. 15616. Notulen van de vergadering gehouden dinsdag 11 juli 1995 op het ministerie van Defensie, aangevangen s avonds om half acht. pag.","- ZEER GEHEIM. MINISTERRAAD NR. 15616. Notulen van de vergadering gehouden dinsdag 11 juli 1995 <extra_id_0> van Defensie, aangevangen <extra_id_1> half <extra_id_2>","['op het ministerie', 's avonds om', 'acht. pag.']",8,30.0,6
