Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Masking percentage,Duplicate count
dagen zijn de gemeenteraadsverkiezingen. Schrijf je in om deze politieke nieuwsbrief per mail te ontvangen.,dagen zijn de gemeenteraadsverkiezingen. <extra_id_0> deze politieke nieuwsbrief per mail te ontvangen.,['Schrijf je in om'],4,30.0,23
Problemen met bedrijven en overheidsdiensten? Help@NRC gaat elke woensdag op zoek naar antwoorden. Vandaag:,Problemen <extra_id_0> Help@NRC gaat elke woensdag op zoek naar antwoorden. Vandaag:,['met bedrijven en overheidsdiensten?'],4,30.0,22
van de formatie. Schrijf je in voor De Haagse Stemming om deze (di-do-za) als nieuwsbrief te ontvangen.,van de formatie. Schrijf <extra_id_0> De Haagse Stemming om deze <extra_id_1> nieuwsbrief te ontvangen.,"['je in voor', '(di-do-za) als']",5,30.0,20
<BR> Land: Thailand<BR> Opgeist door: Niet opgeist<BR> Aantal doden: 1<BR> Aantal gewonden: 0<BR> Methode: moordaanslag<BR> Plaats:,<BR> Land: Thailand<BR> Opgeist door: Niet opgeist<BR> Aantal <extra_id_0> gewonden: <extra_id_1> moordaanslag<BR> Plaats:,"['doden: 1<BR> Aantal', '0<BR> Methode:']",5,30.0,20
Pieter Steinz heeft de spierziekte ALS en verbindt het verloop van zijn ziekte met de boeken die hij (her)leest. Deze week:,Pieter Steinz heeft de spierziekte ALS en verbindt het verloop van zijn <extra_id_0> boeken die hij <extra_id_1>,"['ziekte met de', '(her)leest. Deze week:']",6,30.0,18
"/ The Kobal Collection ] Editorial use only related to cinema, television and personalities. Not for cover use, advertising or fictional works without specific prior agreement The Picture Desk","<extra_id_0> Collection ] <extra_id_1> related to cinema, television and <extra_id_2> cover use, advertising or fictional works without specific prior agreement The Picture Desk","['/ The Kobal', 'Editorial use only', 'personalities. Not for']",9,30.0,17
Deze rubriek belicht elke dinsdag kwesties uit het bedrijfsleven waarover de rechter zich onlangs uitsprak. Vandaag:,Deze rubriek belicht elke dinsdag kwesties uit het <extra_id_0> de rechter <extra_id_1> Vandaag:,"['bedrijfsleven waarover', 'zich onlangs uitsprak.']",5,30.0,16
? Onderaan dit artikel kunnen abonnees op die vraag reageren. Hier vind je meer over reageren op NRC.nl.,? Onderaan dit artikel kunnen abonnees op die <extra_id_0> vind je <extra_id_1> reageren op NRC.nl.,"['vraag reageren. Hier', 'meer over']",5,30.0,15
dagen op het integriteitsonderzoek naar Wybren van Haga. Schrijf je in om deze politieke nieuwsbrief per mail te ontvangen.,dagen op het integriteitsonderzoek naar Wybren van Haga. Schrijf je in om <extra_id_0> per <extra_id_1>,"['deze politieke nieuwsbrief', 'mail te ontvangen.']",6,30.0,14
Wat zijn de kleine verhalen waar de moderne mens in gelooft? Wekelijks vertelt Arjen van Veelen zon moderne mythe. Vandaag:,Wat zijn de kleine verhalen waar de moderne mens <extra_id_0> vertelt <extra_id_1> zon moderne mythe. Vandaag:,"['in gelooft? Wekelijks', 'Arjen van Veelen']",6,30.0,13
"dagen zijn er Tweede Kamerverkiezingen. De Haagse Stemming houdt je elke ochtend op de hoogte van de campagne. Wie zich inschrijft voor de nieuwsbrief, ontvangt deze nog vroeger.","dagen zijn er Tweede Kamerverkiezingen. De Haagse <extra_id_0> elke ochtend op de hoogte van de campagne. Wie <extra_id_1> de nieuwsbrief, ontvangt deze <extra_id_2>","['Stemming houdt je', 'zich inschrijft voor', 'nog vroeger.']",8,30.0,13
. Olga Zuiderhoek en Peter Faber spelen spelletjes in een geraffineerde dialoog van Paul Haenen vol cabaret-effecten en moderne relatiepraat.,. Olga Zuiderhoek en Peter Faber spelen spelletjes in een geraffineerde <extra_id_0> Haenen vol <extra_id_1> relatiepraat.,"['dialoog van Paul', 'cabaret-effecten en moderne']",6,30.0,13
. Ben jij ook op zoek naar een baan en wil je jezelf graag pitchen? Of heb jij misschien de ideale baan voor,<extra_id_0> ook op zoek naar een baan en wil je jezelf graag <extra_id_1> misschien de ideale baan voor,"['. Ben jij', 'pitchen? Of heb jij']",7,30.0,12
. Vrolijke revue met de grootste hits van Irving Berlin in een lichtvoetig biografisch kader en Jon van Eerd als bezienswaardig middelpunt.,. Vrolijke <extra_id_0> grootste hits van Irving Berlin in een lichtvoetig biografisch kader <extra_id_1> als bezienswaardig middelpunt.,"['revue met de', 'en Jon van Eerd']",7,30.0,11
dagen zijn er Tweede Kamerverkiezingen. De Haagse Stemming houdt je elke dag op de hoogte van de campagne. Inschrijven voor de nieuwsbrief kan ook.,dagen zijn er Tweede Kamerverkiezingen. De Haagse Stemming houdt je elke <extra_id_0> hoogte van de campagne. Inschrijven voor <extra_id_1>,"['dag op de', 'de nieuwsbrief kan ook.']",7,30.0,11
". Pijnlijke grappen in het rookkamertje van een ziekenhuis, door Rik Hoogendoorn en Bruun Kuijt (Echte Mannen).",". Pijnlijke <extra_id_0> het rookkamertje van een ziekenhuis, door <extra_id_1> Bruun Kuijt (Echte Mannen).","['grappen in', 'Rik Hoogendoorn en']",5,30.0,11
