Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Masking percentage,Duplicate count
| Het Financieele Dagblad FD.nl maakt gebruik van cookies om de website en het gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,| Het Financieele Dagblad FD.nl maakt gebruik van cookies om de website en <extra_id_0> Voor <extra_id_1> hier.X,"['het gebruiksgemak te verbeteren.', 'meer informatie klik']",7,30.0,28
) Internationale economie (27514) Multinationals (18103) Investeringen (16375) Aandelen (14436) Verenigde Staten (13850) Omzetcijfers (13455) Arbeidsmarkt (12921) EU (11642) Jaarverslag (11233),) Internationale economie (27514) Multinationals (18103) <extra_id_0> (14436) Verenigde Staten (13850) <extra_id_1> (12921) EU (11642) Jaarverslag (11233),"['Investeringen (16375) Aandelen', 'Omzetcijfers (13455) Arbeidsmarkt']",6,30.0,18
(1) Internationale economie (27514) Multinationals (18118) Investeringen (16522) Aandelen (14591) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),(1) Internationale economie (27514) <extra_id_0> (16522) Aandelen (14591) Verenigde Staten (13860) <extra_id_1> (12979) EU (11788) Jaarverslag (11240),"['Multinationals (18118) Investeringen', 'Omzetcijfers (13485) Arbeidsmarkt']",6,30.0,14
) Internationale economie (27514) Multinationals (18118) Investeringen (16523) Aandelen (14593) Verenigde Staten (13860) Omzetcijfers (13486) Arbeidsmarkt (12979) EU (11791) Jaarverslag (11240),) Internationale economie <extra_id_0> Investeringen (16523) Aandelen (14593) <extra_id_1> Omzetcijfers (13486) Arbeidsmarkt (12979) EU (11791) Jaarverslag (11240),"['(27514) Multinationals (18118)', 'Verenigde Staten (13860)']",6,30.0,13
) Internationale economie (27514) Multinationals (18118) Investeringen (16522) Aandelen (14591) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),<extra_id_0> (27514) <extra_id_1> (16522) Aandelen (14591) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),"[') Internationale economie', 'Multinationals (18118) Investeringen']",6,30.0,11
 In De Vonk vertelt wekelijks iemand over een beslissend moment in zijn of haar loopbaan. Deze week:,In De Vonk vertelt wekelijks iemand over een <extra_id_0> in zijn of <extra_id_1> week:,"['beslissend moment', 'haar loopbaan. Deze']",5,30.0,11
(1) Internationale economie (27514) Multinationals (18118) Investeringen (16518) Aandelen (14590) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11781) Jaarverslag (11240),(1) Internationale <extra_id_0> (18118) Investeringen (16518) Aandelen (14590) Verenigde Staten (13860) Omzetcijfers <extra_id_1> EU (11781) Jaarverslag (11240),"['economie (27514) Multinationals', '(13485) Arbeidsmarkt (12979)']",6,30.0,10
In De Vonk vertelt wekelijks iemand over een beslissend moment in zijn of haar loopbaan. Deze week:,In De Vonk vertelt wekelijks iemand <extra_id_0> beslissend moment in zijn of <extra_id_1> week:,"['over een', 'haar loopbaan. Deze']",5,30.0,8
) Internationale economie (27514) Multinationals (18134) Investeringen (16629) Aandelen (14714) Verenigde Staten (13862) Omzetcijfers (13595) Arbeidsmarkt (13011) EU (11889) Jaarverslag (11247),) Internationale <extra_id_0> (18134) <extra_id_1> (14714) Verenigde Staten (13862) Omzetcijfers (13595) Arbeidsmarkt (13011) EU (11889) Jaarverslag (11247),"['economie (27514) Multinationals', 'Investeringen (16629) Aandelen']",6,30.0,8
) Internationale economie (27514) Multinationals (18134) Investeringen (16618) Aandelen (14707) Verenigde Staten (13862) Omzetcijfers (13588) Arbeidsmarkt (13008) EU (11888) Jaarverslag (11247),) Internationale economie (27514) Multinationals (18134) Investeringen (16618) Aandelen (14707) Verenigde Staten (13862) <extra_id_0> (13008) EU <extra_id_1>,"['Omzetcijfers (13588) Arbeidsmarkt', '(11888) Jaarverslag (11247)']",6,30.0,8
