Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,base,Binnale van Veneti 2017 Vijf kunstenaars hopen het Nederlands Binnalepaviljoen in te richten.  Bijna allemaal laten ze het publiek actief meedoen,Binnale van Veneti 2017 Vijf kunstenaars hopen het Nederlands Binnalepaviljoen in te richten. <extra_id_0> ze het <extra_id_1>,Binnale van Veneti 2017 Vijf kunstenaars hopen het Nederlands Binnalepaviljoen in te richten. In 2017 hebben ze het,"['Bijna allemaal laten', 'publiek actief meedoen']","['In 2017 hebben', '']",6,30,1,"[0.8, 1.0]",0.9
seq1-0,base,"Beelden detoneren in barok plezierbos Oude Warande Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen.  Er wordt gepicknickt op de grasvelden, honden nemen een duik in de vennetjes en kinderen leren fietsen op de rechte paden die het park doorkruisen","Beelden detoneren in barok plezierbos Oude <extra_id_0> dagen wordt <extra_id_1> een park net buiten Tilburg, <extra_id_2> Er wordt gepicknickt op de grasvelden, honden nemen een duik in de vennetjes en kinderen leren <extra_id_3> rechte paden <extra_id_4> park doorkruisen","Beelden detoneren in barok plezierbos Oude Op de dagen wordt er gevist in een park net buiten Tilburg, in de Nieuwe Kerk. Er wordt gepicknickt op de grasvelden, honden nemen een duik in de vennetjes en kinderen leren de rechte paden van het park doorkruisen","['Warande Op zonnige', 'de Oude Warande,', 'overspoeld door dagjesmensen.', 'fietsen op de', 'die het']","['Op de', 'er gevist in', 'in de Nieuwe Kerk.', 'de', 'van het']",14,30,1,"[0.7777777777777778, 0.875, 0.7931034482758621, 0.8461538461538461, 0.42857142857142855]",0.74
seq2-0,base,"'Bompakketje' Namibi was veiligheidstest Een verdacht pakketje dat onderweg was naar Duitsland en woensdag werd gevonden op een vliegveld in Namibi, was een nepbom bedoeld om de veiligheid van de luchthaven te testen.  Het ","'Bompakketje' Namibi was <extra_id_0> dat onderweg was naar Duitsland en woensdag werd gevonden op een vliegveld in Namibi, was <extra_id_1> om de veiligheid van <extra_id_2> testen. Het","'Bompakketje' Namibi was veilig Het vliegtuig dat onderweg was naar Duitsland en woensdag werd gevonden op een vliegveld in Namibi, was verplicht om de veiligheid van het vliegtuig te testen. Het","['veiligheidstest Een verdacht pakketje', 'een nepbom bedoeld', 'de luchthaven te']","['veilig Het vliegtuig', 'verplicht', 'het vliegtuig te']",10,30,1,"[0.7027027027027027, 0.8888888888888888, 0.6875]",0.76
seq3-0,base,Hamas mag in Rusland op bezoek komen .  Tot ontsteltenis van Isral heeft de Russische president Poetin gisteren aangekondigd de moslimfundamentalistische organisatie Hamas te zullen uitnodigen voor besprekingen in Moskou,Hamas mag <extra_id_0> bezoek komen . Tot ontsteltenis van Isral <extra_id_1> president Poetin gisteren aangekondigd de moslimfundamentalistische organisatie Hamas te zullen uitnodigen <extra_id_2> Moskou,Hamas mag op bezoek komen . Tot ontsteltenis van Isral heeft president Poetin gisteren aangekondigd de moslimfundamentalistische organisatie Hamas te zullen uitnodigen op bezoek in Moskou,"['in Rusland op', 'heeft de Russische', 'voor besprekingen in']","['op', 'heeft', 'op bezoek in']",9,30,1,"[0.8461538461538461, 0.7222222222222222, 0.55]",0.71
seq4-0,base,Helft van de daders aanslagen heeft crimineel verleden Foto Emilio Morenatti/AP Barcelona is de laatst getroffen stad in een reeks terroristische aanslagen.  Sympathisanten van Islamtische Staat pleegden alleen al in de afgelopen 12 maanden veertien aanslagen in Europese steden,Helft van de <extra_id_0> crimineel verleden Foto Emilio Morenatti/AP Barcelona is de laatst getroffen stad in een <extra_id_1> Sympathisanten <extra_id_2> pleegden alleen al in de afgelopen 12 maanden veertien <extra_id_3> steden,Helft van de politiek en het crimineel verleden Foto Emilio Morenatti/AP Barcelona is de laatst getroffen stad in een crisis. Sympathisanten van de VS pleegden alleen al in de afgelopen 12 maanden veertien moord in steden,"['daders aanslagen heeft', 'reeks terroristische aanslagen.', 'van Islamtische Staat', 'aanslagen in Europese']","['politiek en het', 'crisis.', 'van de VS', 'moord in']",12,30,1,"[0.7272727272727273, 0.8064516129032258, 0.7142857142857143, 0.8571428571428571]",0.78
seq5-0,base,De 32-jarige man die de politie gisteravond heeft opgepakt in verband met de schietpartij en bomaanslag in Noorwegen wordt in verband gebracht met rechtsextremisme en publiceerde op internet veelvuldig kritisch over de islam.  Dat melden Noorse media,De 32-jarige man die de politie gisteravond heeft <extra_id_0> met de schietpartij en bomaanslag in Noorwegen <extra_id_1> gebracht met rechtsextremisme <extra_id_2> op internet veelvuldig <extra_id_3> islam. Dat melden Noorse media,De 32-jarige man die de politie gisteravond heeft aangehouden met de schietpartij en bomaanslag in Noorwegen is in verband gebracht met rechtsextremisme en op internet veelvuldig berichten over islam. Dat melden Noorse media,"['opgepakt in verband', 'wordt in verband', 'en publiceerde', 'kritisch over de']","['aangehouden', 'is in verband', 'en', 'berichten over']",11,30,1,"[0.8421052631578947, 0.3125, 0.8571428571428571, 0.625]",0.66
seq6-0,base,Een 29-jarige arrestant uit Den Haag is gisteravond op weg naar het politiebureau overleden.  De man werd onwel terwijl hij geboeid op de achterbank van de politieauto lag en overleed daar,Een 29-jarige arrestant uit Den Haag is gisteravond op weg naar het politiebureau <extra_id_0> werd onwel terwijl hij geboeid op <extra_id_1> de politieauto <extra_id_2> daar,Een 29-jarige arrestant uit Den Haag is gisteravond op weg naar het politiebureau in Den Haag. Hij werd onwel terwijl hij geboeid op de achterbank van de politieauto <extra_id_52></s> daar,"['overleden. De man', 'de achterbank van', 'lag en overleed']","['in Den Haag. Hij', 'de achterbank van', '<extra_id_52></s>']",9,30,1,"[0.8823529411764706, 0.0, 1.0]",0.63
seq7-0,base,Zelfrijdende autos De Duitse auto-industrie reageerde traag op de omwentelingen in de sector.  Samenwerking moet leiden tot een inhaalslag,Zelfrijdende autos De Duitse auto-industrie reageerde traag op de <extra_id_0> sector. Samenwerking <extra_id_1> een inhaalslag,Zelfrijdende autos De Duitse auto-industrie reageerde traag op de nieuwe sector. Samenwerking met de VS is een inhaalslag,"['omwentelingen in de', 'moet leiden tot']","['nieuwe', 'met de VS is']",6,30,1,"[0.7894736842105263, 0.6]",0.69
seq8-0,base,"Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART.  Mediabedrijf Wegener Arcade verwacht dat de nieuwe televisiezenders TV10 Gold en The Music Factory dit jaar nog niet zullen bijdragen aan de resultaten van het concern","Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART. Mediabedrijf Wegener Arcade verwacht dat de <extra_id_0> en The Music Factory dit jaar nog niet zullen <extra_id_1> resultaten <extra_id_2>","Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART. Mediabedrijf Wegener Arcade verwacht dat de zenders HBO en The Music Factory dit jaar nog niet zullen zien resultaten","['nieuwe televisiezenders TV10 Gold', 'bijdragen aan de', 'van het concern']","['zenders HBO', 'zien', '']",10,30,1,"[0.7575757575757576, 0.8125, 1.0]",0.86
seq9-0,base,"Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid.  Letterlijk n figuurlijk, zo blijkt uit de inzendingen voor de essayprijs- vraag die deze krant samen met de Stichting Sociale Zekerheid 2001 organiseerde","Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid. Letterlijk n figuurlijk, zo blijkt uit de inzendingen voor de <extra_id_0> deze krant <extra_id_1> Sociale <extra_id_2>","Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid. Letterlijk n figuurlijk, zo blijkt uit de inzendingen voor de verkiezingen van deze krant Sociale zekerheid","['essayprijs- vraag die', 'samen met de Stichting', 'Zekerheid 2001 organiseerde']","['verkiezingen van', '', 'zekerheid']",10,30,1,"[0.8571428571428571, 1.0, 0.7037037037037037]",0.85
