Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,large,| Het Financieele Dagblad FD.nl maakt gebruik van cookies om de website en het gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,| Het Financieele Dagblad FD.nl maakt gebruik <extra_id_0> de website en het gebruiksgemak te verbeteren. <extra_id_1> klik hier.X,| Het Financieele Dagblad FD.nl maakt gebruik van cookies om de website en het gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,"['van cookies om', 'Voor meer informatie']","['van cookies om', 'Voor meer informatie']",6,25.0,28,"[0.0, 0.0]",0.0
seq1-0,large,) Internationale economie (27514) Multinationals (18103) Investeringen (16375) Aandelen (14436) Verenigde Staten (13850) Omzetcijfers (13455) Arbeidsmarkt (12921) EU (11642) Jaarverslag (11233),) Internationale economie (27514) Multinationals (18103) <extra_id_0> (14436) Verenigde Staten (13850) Omzetcijfers (13455) <extra_id_1> EU (11642) Jaarverslag (11233),) Internationale economie (27514) Multinationals (18103) Economie (14436) Verenigde Staten (13850) Omzetcijfers (13455) Economie (12811) EU (11642) Jaarverslag (11233),"['Investeringen (16375) Aandelen', 'Arbeidsmarkt (12921)']","['Economie', 'Economie (12811)']",5,25.0,18,"[0.9333333333333333, 0.65]",0.79
seq2-0,large,(1) Internationale economie (27514) Multinationals (18118) Investeringen (16522) Aandelen (14591) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),(1) Internationale economie (27514) Multinationals (18118) Investeringen (16522) Aandelen <extra_id_0> Staten (13860) Omzetcijfers (13485) Arbeidsmarkt <extra_id_1> Jaarverslag (11240),(1) Internationale economie (27514) Multinationals (18118) Investeringen (16522) Aandelen (14971) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12201) Jaarverslag (11240),"['(14591) Verenigde', '(12979) EU (11788)']","['(14971) Verenigde', '(12201)']",5,25.0,14,"[0.11764705882352941, 0.7222222222222222]",0.42
seq3-0,large,) Internationale economie (27514) Multinationals (18118) Investeringen (16523) Aandelen (14593) Verenigde Staten (13860) Omzetcijfers (13486) Arbeidsmarkt (12979) EU (11791) Jaarverslag (11240),) Internationale economie (27514) Multinationals <extra_id_0> (16523) Aandelen (14593) Verenigde Staten <extra_id_1> Arbeidsmarkt (12979) EU (11791) Jaarverslag (11240),) Internationale economie (27514) Multinationals ( (16523) Aandelen (14593) Verenigde Staten (13470) Arbeidsmarkt (12979) EU (11791) Jaarverslag (11240),"['(18118) Investeringen', '(13860) Omzetcijfers (13486)']","['(', '(13470)']",5,25.0,13,"[0.9523809523809523, 0.8214285714285714]",0.89
seq4-0,large,) Internationale economie (27514) Multinationals (18118) Investeringen (16522) Aandelen (14591) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),) Internationale economie (27514) Multinationals (18118) Investeringen (16522) Aandelen (14591) Verenigde <extra_id_0> Omzetcijfers (13485) <extra_id_1> (11788) Jaarverslag (11240),) Internationale economie (27514) Multinationals (18118) Investeringen (16522) Aandelen (14591) Verenigde Staten (14050) Omzetcijfers (13485) Economie (11788) Jaarverslag (11240),"['Staten (13860)', 'Arbeidsmarkt (12979) EU']","['Staten (14050)', 'Economie']",5,25.0,11,"[0.21428571428571427, 0.9565217391304348]",0.59
seq5-0,large, In De Vonk vertelt wekelijks iemand over een beslissend moment in zijn of haar loopbaan. Deze week:,In De Vonk vertelt wekelijks iemand over een beslissend moment in <extra_id_0> Deze week:,In De Vonk vertelt wekelijks iemand over een beslissend moment in zijn leven. Deze week:,['zijn of haar loopbaan.'],['zijn leven.'],4,25.0,11,[0.6363636363636364],0.64
seq6-0,large,(1) Internationale economie (27514) Multinationals (18118) Investeringen (16518) Aandelen (14590) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11781) Jaarverslag (11240),(1) Internationale <extra_id_0> (18118) Investeringen (16518) Aandelen (14590) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) <extra_id_1> Jaarverslag (11240),(1) Internationale markten (18118) Investeringen (16518) Aandelen (14590) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) Economie (12844) Jaarverslag (11240),"['economie (27514) Multinationals', 'EU (11781)']","['markten', 'Economie (12844)']",5,25.0,10,"[0.9032258064516129, 0.6875]",0.8
seq7-0,large,In De Vonk vertelt wekelijks iemand over een beslissend moment in zijn of haar loopbaan. Deze week:,In De <extra_id_0> over een beslissend moment in zijn of haar loopbaan. Deze week:,In De Loopbaan over een beslissend moment in zijn of haar loopbaan. Deze week:,['Vonk vertelt wekelijks iemand'],['Loopbaan'],4,25.0,8,[0.896551724137931],0.9
seq8-0,large,) Internationale economie (27514) Multinationals (18134) Investeringen (16629) Aandelen (14714) Verenigde Staten (13862) Omzetcijfers (13595) Arbeidsmarkt (13011) EU (11889) Jaarverslag (11247),) Internationale economie <extra_id_0> Investeringen (16629) Aandelen (14714) Verenigde Staten (13862) Omzetcijfers (13595) Arbeidsmarkt (13011) EU <extra_id_1> (11247),) Internationale economie (6646) Investeringen (16629) Aandelen (14714) Verenigde Staten (13862) Omzetcijfers (13595) Arbeidsmarkt (13011) EU (11247),"['(27514) Multinationals (18134)', '(11889) Jaarverslag']","['(6646)', '']",5,25.0,8,"[0.9, 1.0]",0.95
seq9-0,large,) Internationale economie (27514) Multinationals (18134) Investeringen (16618) Aandelen (14707) Verenigde Staten (13862) Omzetcijfers (13588) Arbeidsmarkt (13008) EU (11888) Jaarverslag (11247),) Internationale economie (27514) Multinationals (18134) Investeringen (16618) Aandelen (14707) Verenigde Staten (13862) Omzetcijfers <extra_id_0> (13008) EU <extra_id_1>,) Internationale economie (27514) Multinationals (18134) Investeringen (16618) Aandelen (14707) Verenigde Staten (13862) Omzetcijfers (13153) Duitsland (13008) EU (12800),"['(13588) Arbeidsmarkt', '(11888) Jaarverslag (11247)']","['(13153) Duitsland', '(12800)']",5,25.0,8,"[0.6, 0.8518518518518519]",0.73
