Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Masking percentage,Duplicate count
"In de rubriek Aan de grens bericht De Groene over de laatste cijfers en ontwikkelingen op het gebied van vluchtelingen, migranten en grensbeleid. Deze week:","In de <extra_id_0> grens bericht De Groene over de laatste cijfers en ontwikkelingen op het gebied van vluchtelingen, migranten en <extra_id_1>","['rubriek Aan de', 'grensbeleid. Deze week:']",6,25.0,24
In zijn Kleine encyclopedie schetst Herman Vuijsje nieuwe inzichten over Nederland aan de hand van neologismen. Deze week:,In zijn Kleine encyclopedie schetst Herman Vuijsje nieuwe <extra_id_0> de hand van neologismen. Deze week:,['inzichten over Nederland aan'],4,25.0,17
 altijd meer dan ze kan of wil bespreken. Hier doet ze verslag van haar bevindingen en overwegingen bij de boeken die ze leest. Deze week:,altijd meer dan ze kan <extra_id_0> Hier <extra_id_1> van haar bevindingen en overwegingen bij de boeken die ze leest. Deze week:,"['of wil bespreken.', 'doet ze verslag']",6,25.0,14
"De zomerslaap is voorbij, het politieke seizoen is begonnen. De enige die gedurende de lange, landerige zomer nog voor politieke opwinding wist te zorgen, was Frits Bolkestein. Of het nu een tv-optreden bij de VPRO was of een toespraak op een theaterfestival, de VVD-leider stond steeds weer in het nieuws. Met hem opent De Groene daarom het nieuwe politieke jaar.","De zomerslaap is voorbij, het politieke seizoen is begonnen. De enige die gedurende de lange, landerige zomer nog voor politieke <extra_id_0> zorgen, was Frits Bolkestein. Of het nu een tv-optreden bij de <extra_id_1> een toespraak op een theaterfestival, de VVD-leider stond steeds weer <extra_id_2> Met <extra_id_3> Groene daarom <extra_id_4> jaar.","['opwinding wist te', 'VPRO was of', 'in het nieuws.', 'hem opent De', 'het nieuwe politieke']",15,25.0,12
Groene-redacteur Casper Thomas schrijft vanuit Washington over het Amerika van Donald Trump. In aflevering,Groene-redacteur Casper Thomas schrijft vanuit Washington over het <extra_id_0> In aflevering,['Amerika van Donald Trump.'],4,25.0,11
De vaste kunstcritici van De Groene Amsterdammer selecteerden de meest in het oog springende cultuur van het nieuwe kunstseizoen. Tip,De vaste kunstcritici van De Groene Amsterdammer selecteerden de meest in het oog springende <extra_id_0> het <extra_id_1>,"['cultuur van', 'nieuwe kunstseizoen. Tip']",5,25.0,11
. Onze podcast is elke vrijdagochtend gratis beschikbaar via groene.nl/podcasts en via de andere bekende podcastkanalen,. Onze <extra_id_0> gratis beschikbaar via groene.nl/podcasts en via de andere bekende podcastkanalen,['podcast is elke vrijdagochtend'],4,25.0,10
Mira Feticu ziet overeenkomsten tussen de quarantaine ten tijde van de coronacrisis en haar leven in dictatoriaal Roemeni. Hoe hield ze zich staande onder het bewind van Ceauescu? Deel,Mira Feticu ziet overeenkomsten tussen de quarantaine ten tijde van de coronacrisis en haar leven in dictatoriaal Roemeni. <extra_id_0> zich staande onder <extra_id_1> Deel,"['Hoe hield ze', 'het bewind van Ceauescu?']",7,25.0,10
"Frans Verhagen is lid geworden van de PvdA, want op dit moment in de geschiedenis kun je niet meer blijven toekijken. Deze week:","Frans Verhagen is lid geworden van de PvdA, <extra_id_0> moment in de geschiedenis <extra_id_1> meer blijven toekijken. Deze week:","['want op dit', 'kun je niet']",6,25.0,9
De komende weken zal Menno Grootveld stukken selecteren en vertalen van denkers over corona in de internationale pers. In aflevering,De komende weken zal Menno Grootveld stukken selecteren en vertalen <extra_id_0> over <extra_id_1> internationale pers. In aflevering,"['van denkers', 'corona in de']",5,25.0,9
