Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Masking percentage,Duplicate count
Je gaat het pas zien als je het doorhebt.* Wieteke van Zeil over opmerkelijke en veelbetekenende bijzaken in de beeldende kunst. Deze week:,Je gaat het pas zien <extra_id_0> doorhebt.* Wieteke van <extra_id_1> en veelbetekenende bijzaken in de beeldende kunst. Deze week:,"['als je het', 'Zeil over opmerkelijke']",6,25.0,20
"In razend tempo volgen de nieuwe bandjes, beloftes en platen-die-je-geluisterd-moet-hebben elkaar op. In de rubriek Luie Luisteraar loodst Volkskrant.nl je elke week door de nieuwste releases en selecteert de drie platen die je niet mag missen. Deze week:","In razend tempo volgen de nieuwe bandjes, beloftes en platen-die-je-geluisterd-moet-hebben elkaar op. In de rubriek Luie Luisteraar loodst Volkskrant.nl je elke <extra_id_0> releases en selecteert <extra_id_1> die je <extra_id_2> Deze week:","['week door de nieuwste', 'de drie platen', 'niet mag missen.']",10,25.0,19
| De Volkskrant Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,| De Volkskrant Wat zullen we eens eten vanavond? Iedere dag <extra_id_0> verrassend recept. Vandaag:,['in de Volkskrant een'],4,25.0,19
Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) <extra_id_0> week:,['Jasper van Kuijk. Deze'],4,25.0,18
Denkfouten in het hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,<extra_id_0> ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,['Denkfouten in het hedendaags'],4,25.0,18
Wat betekent het om nu vrouw te zijn? In een reeks interviews stelt de Volkskrant die kwestie aan de orde.,Wat betekent het om nu vrouw te zijn? In een reeks interviews stelt de <extra_id_0> kwestie <extra_id_1>,"['Volkskrant die', 'aan de orde.']",5,25.0,17
"Volkskrant.nl zet elke zondag de leukste, handigste en meest informatieve apps voor u op een rijtje. Deze week:",Volkskrant.nl zet elke zondag de <extra_id_0> informatieve apps voor u op een rijtje. Deze week:,"['leukste, handigste en meest']",4,25.0,16
"Wekelijks nemen de cultuurspecialisten van de Volkskrant stelling in de wereld van film, muziek, theater of beeldende kunst. Deze week:",Wekelijks nemen <extra_id_0> de Volkskrant stelling in de wereld van <extra_id_1> theater of beeldende kunst. Deze week:,"['de cultuurspecialisten van', 'film, muziek,']",5,25.0,15
"Ook zon hekel aan onnodig Engels? Help ons dan aan bruikbare, Nederlandse alternatieven. Zoals voor",Ook zon hekel aan onnodig Engels? Help <extra_id_0> Nederlandse alternatieven. Zoals voor,"['ons dan aan bruikbare,']",4,25.0,15
"Kookboekenmaker, kok en illustrator Yvette van Boven maakt een seizoensrecept plus een recept om de restjes op te maken. Deze week:","Kookboekenmaker, kok en illustrator Yvette van Boven maakt een seizoensrecept plus een recept om de <extra_id_0> maken. <extra_id_1>","['restjes op te', 'Deze week:']",5,25.0,15
| De Volkskrant Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,| De Volkskrant Denkfouten in hedendaags ontwerp gefileerd door <extra_id_0> van Kuijk. Deze week:,['innovatie-expert (en cabaretier) Jasper'],4,25.0,13
"- Koken & Eten - Voor nieuws, achtergronden en columns Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:",- Koken & Eten - Voor <extra_id_0> columns Wat zullen we eens eten vanavond? Iedere <extra_id_1> Volkskrant een verrassend recept. Vandaag:,"['nieuws, achtergronden en', 'dag in de']",6,25.0,13
"- Koken & Eten - Voor nieuws, achtergronden en columns ReceptWat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:","<extra_id_0> Eten - Voor nieuws, achtergronden <extra_id_1> zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:","['- Koken &', 'en columns ReceptWat']",6,25.0,13
Je ziet het pas goed van dichtbij. Wieteke van Zeil over opmerkelijke en veelbetekenende bijzaken in de beeldende kunst. Deze week:,Je ziet <extra_id_0> van dichtbij. Wieteke van Zeil over opmerkelijke en veelbetekenende bijzaken in de beeldende kunst. <extra_id_1>,"['het pas goed', 'Deze week:']",5,25.0,13
"Kookboekenmaker, kok en illustrator Yvette van Boven maakt elke week een gerecht in de oven. Deze week:","Kookboekenmaker, kok <extra_id_0> Boven maakt elke week een gerecht in de oven. Deze week:",['en illustrator Yvette van'],4,25.0,13
"Wat kwam er de laatste dagen weer voor moois bij in het cultuuraanbod? De Volkskrant-specialisten kiezen hun favorieten, van","Wat kwam <extra_id_0> dagen weer voor <extra_id_1> in het cultuuraanbod? De Volkskrant-specialisten kiezen hun favorieten, van","['er de laatste', 'moois bij']",5,25.0,12
"Wat kwam er de laatste dagen weer voor moois bij in het cultuuraanbod? De V-specialisten kiezen hun favorieten, van","Wat <extra_id_0> de laatste dagen weer voor moois bij in het <extra_id_1> kiezen hun favorieten, van","['kwam er', 'cultuuraanbod? De V-specialisten']",5,25.0,12
Afwisselend betuigen Stella Bergsma en Sylvia Witteman hun liefde voor Nederlandse woorden die je niet vaak genoeg meer hoort. Deze week:,Afwisselend betuigen Stella Bergsma en Sylvia Witteman hun <extra_id_0> Nederlandse woorden <extra_id_1> vaak genoeg meer hoort. Deze week:,"['liefde voor', 'die je niet']",5,25.0,12
e gefingeerd. Ook genterviewd worden over liefde en lust? Mail een korte toelichting naar lust@volkskrant.nl,e gefingeerd. Ook genterviewd worden over <extra_id_0> een korte toelichting naar lust@volkskrant.nl,['liefde en lust? Mail'],4,25.0,12
"juni terug. Op de hoogte blijven? Ontvang pushmeldingen via onze app, abonneer je op onze nieuwsbrieven, en lees alles over het virus in dit dossier.",juni terug. Op de hoogte blijven? Ontvang pushmeldingen via <extra_id_0> je op <extra_id_1> lees alles over het virus in dit dossier.,"['onze app, abonneer', 'onze nieuwsbrieven, en']",6,25.0,12
"mei terug. Op de hoogte blijven? Ontvang pushmeldingen via onze app, abonneer je op onze nieuwsbrieven, en lees alles over het virus in dit dossier.","mei terug. Op de hoogte blijven? Ontvang <extra_id_0> app, <extra_id_1> onze nieuwsbrieven, en lees alles over het virus in dit dossier.","['pushmeldingen via onze', 'abonneer je op']",6,25.0,12
"Berichten verspreiden zich razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Vandaag:","Berichten verspreiden zich razendsnel, of ze nu kloppen of niet. Wij proberen <extra_id_0> van <extra_id_1> scheiden. Vandaag:","['de zin', 'de onzin te']",5,25.0,12
"gefingeerd. Ook genterviewd worden? Iedereen wordt uitgenodigd te reageren, nadrukkelijk ook mensen met een niet-Nederlandse achtergrond. Mail een korte toelichting naar lust@volkskrant.nl",gefingeerd. Ook genterviewd worden? Iedereen wordt uitgenodigd <extra_id_0> ook <extra_id_1> niet-Nederlandse achtergrond. Mail een korte toelichting naar lust@volkskrant.nl,"['te reageren, nadrukkelijk', 'mensen met een']",6,25.0,11
gefingeerd. Ook genterviewd worden over liefde en lust? Mail een korte toelichting naar lust@volkskrant.nl,gefingeerd. Ook genterviewd worden over liefde en <extra_id_0> toelichting naar lust@volkskrant.nl,['lust? Mail een korte'],4,25.0,11
"...' is content gemaakt in opdracht van en betaald door een adverteerder, geproduceerd door de commerciele afdeling van DPG Media. De journalisten van de Volkskrant zijn hier niet bij betrokken.","...' <extra_id_0> in opdracht van en <extra_id_1> adverteerder, geproduceerd door de commerciele afdeling <extra_id_2> Media. De journalisten van de Volkskrant zijn hier niet bij betrokken.","['is content gemaakt', 'betaald door een', 'van DPG']",8,25.0,11
m Zuckerberg ontwijkt lastige vragen en laat EU-parlement gefrustreerd achter Zuckerberg laat EU-parlement gefrustreerd achter,m <extra_id_0> en laat EU-parlement gefrustreerd achter Zuckerberg laat EU-parlement gefrustreerd achter,['Zuckerberg ontwijkt lastige vragen'],4,25.0,10
en | De Volkskrant Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,en | De Volkskrant Wat zullen we eens eten vanavond? Iedere <extra_id_0> de <extra_id_1> recept. Vandaag:,"['dag in', 'Volkskrant een verrassend']",5,25.0,10
s | De Volkskrant Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,s | De Volkskrant <extra_id_0> we eens eten vanavond? Iedere dag in <extra_id_1> verrassend recept. Vandaag:,"['Wat zullen', 'de Volkskrant een']",5,25.0,10
. Wat zou u doen? Onze vraag is: wat zou u doen? Mail uw antwoord (maximaal 110 woorden) voor maandag,<extra_id_0> u <extra_id_1> vraag is: wat zou u doen? Mail uw antwoord (maximaal 110 woorden) voor maandag,"['. Wat zou', 'doen? Onze']",5,25.0,10
Wie of wat zette je leven op het juiste spoor? In een serie interviews vraagt de Volkskrant mensen naar hun inspiratiebron.,Wie of wat zette je leven op het juiste spoor? In een serie <extra_id_0> de <extra_id_1> hun inspiratiebron.,"['interviews vraagt', 'Volkskrant mensen naar']",5,25.0,10
m Dump het aandeel of wees lastig: pensioenfondsen beleggen steeds kritischer Dump het aandeel of wees lastig,m Dump <extra_id_0> lastig: pensioenfondsen beleggen steeds kritischer Dump het aandeel of wees lastig,['het aandeel of wees'],4,25.0,10
op verzoek van de boekenredactie de eerste tien pagina's van drie net verschenen boeken en geeft op basis daarvan advies.,op verzoek van de boekenredactie de eerste tien pagina's van drie net verschenen boeken <extra_id_0> op <extra_id_1>,"['en geeft', 'basis daarvan advies.']",5,25.0,9
Prikkelende opinies op een dag dat u er tijd voor heeft: de Volkskrant presenteert elke zondag een bijdrage van een vaste club auteurs.,Prikkelende opinies op <extra_id_0> u er tijd voor heeft: de Volkskrant presenteert elke zondag een bijdrage <extra_id_1> club auteurs.,"['een dag dat', 'van een vaste']",6,25.0,9
m En weer is een verrader van Anne Frank ontmaskerd: was het dan toch Ans van ... Is zij de verrader van Anne Frank?,m En weer is <extra_id_0> Anne Frank ontmaskerd: was <extra_id_1> Ans van ... Is zij de verrader van Anne Frank?,"['een verrader van', 'het dan toch']",6,25.0,9
"| De Volkskrant Volkskrant.nl zet elke zondag de leukste, handigste en meest informatieve apps voor u op een rijtje. Deze week:",| De Volkskrant Volkskrant.nl zet elke zondag <extra_id_0> en meest informatieve apps voor u <extra_id_1> rijtje. Deze week:,"['de leukste, handigste', 'op een']",5,25.0,9
"Ccile Narinx en Arno Kantelberg bespreken elke week de stijl van een wereldstad. Opdat u, toerist, er de volgende keer net iets minder opvalt. Vandaag:","Ccile <extra_id_0> Kantelberg bespreken elke week de stijl van een wereldstad. Opdat u, <extra_id_1> volgende keer net iets minder opvalt. Vandaag:","['Narinx en Arno', 'toerist, er de']",6,25.0,9
"), naam bij de redactie bekend Onze vraag is: wat zou u doen? Mail uw antwoord (max. 110 woorden) voor maandag","), <extra_id_0> de redactie bekend Onze vraag is: wat zou u doen? Mail uw antwoord <extra_id_1> voor maandag","['naam bij', '(max. 110 woorden)']",5,25.0,9
We genieten wat af met z'n allen. Jan Dirk van der Burg reist door Nederland en legt het allemaal vast.,We genieten wat af met z'n allen. Jan <extra_id_0> der Burg reist <extra_id_1> legt het allemaal vast.,"['Dirk van', 'door Nederland en']",5,25.0,9
' Tourverslaggever Marije Randewijk voorspelt elke dag op Volkskrant.nl wie de etappe in de Tour de France gaat winnen. Vandaag de,' Tourverslaggever Marije Randewijk voorspelt elke <extra_id_0> Volkskrant.nl wie de etappe in de Tour de France <extra_id_1> de,"['dag op', 'gaat winnen. Vandaag']",5,25.0,9
