Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Masking percentage,Duplicate count
Binnale van Veneti 2017 Vijf kunstenaars hopen het Nederlands Binnalepaviljoen in te richten.  Bijna allemaal laten ze het publiek actief meedoen,Binnale van Veneti 2017 Vijf kunstenaars hopen het Nederlands <extra_id_0> Bijna allemaal laten ze het publiek actief meedoen,['Binnalepaviljoen in te richten.'],4,20.0,1
"Beelden detoneren in barok plezierbos Oude Warande Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen.  Er wordt gepicknickt op de grasvelden, honden nemen een duik in de vennetjes en kinderen leren fietsen op de rechte paden die het park doorkruisen","Beelden detoneren in barok plezierbos Oude Warande Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen. Er wordt gepicknickt op de <extra_id_0> een duik in de vennetjes <extra_id_1> fietsen op de rechte paden <extra_id_2> doorkruisen","['grasvelden, honden nemen', 'en kinderen leren', 'die het park']",9,20.0,1
"'Bompakketje' Namibi was veiligheidstest Een verdacht pakketje dat onderweg was naar Duitsland en woensdag werd gevonden op een vliegveld in Namibi, was een nepbom bedoeld om de veiligheid van de luchthaven te testen.  Het ","'Bompakketje' Namibi was veiligheidstest Een verdacht pakketje dat onderweg was <extra_id_0> werd gevonden <extra_id_1> in Namibi, was een nepbom bedoeld om de veiligheid van de luchthaven te testen. Het","['naar Duitsland en woensdag', 'op een vliegveld']",7,20.0,1
Hamas mag in Rusland op bezoek komen .  Tot ontsteltenis van Isral heeft de Russische president Poetin gisteren aangekondigd de moslimfundamentalistische organisatie Hamas te zullen uitnodigen voor besprekingen in Moskou,<extra_id_0> Rusland op bezoek komen <extra_id_1> van Isral heeft de Russische president Poetin gisteren aangekondigd de moslimfundamentalistische organisatie Hamas te zullen uitnodigen voor besprekingen in Moskou,"['Hamas mag in', '. Tot ontsteltenis']",6,20.0,1
Helft van de daders aanslagen heeft crimineel verleden Foto Emilio Morenatti/AP Barcelona is de laatst getroffen stad in een reeks terroristische aanslagen.  Sympathisanten van Islamtische Staat pleegden alleen al in de afgelopen 12 maanden veertien aanslagen in Europese steden,Helft van de daders aanslagen heeft crimineel verleden Foto Emilio Morenatti/AP Barcelona is de laatst <extra_id_0> een reeks terroristische aanslagen. Sympathisanten van Islamtische Staat pleegden alleen al in de afgelopen 12 <extra_id_1> in <extra_id_2>,"['getroffen stad in', 'maanden veertien aanslagen', 'Europese steden']",8,20.0,1
De 32-jarige man die de politie gisteravond heeft opgepakt in verband met de schietpartij en bomaanslag in Noorwegen wordt in verband gebracht met rechtsextremisme en publiceerde op internet veelvuldig kritisch over de islam.  Dat melden Noorse media,De 32-jarige man die de politie gisteravond heeft opgepakt in verband met de <extra_id_0> Noorwegen wordt in verband gebracht met rechtsextremisme en publiceerde op internet veelvuldig <extra_id_1> islam. Dat melden Noorse media,"['schietpartij en bomaanslag in', 'kritisch over de']",7,20.0,1
Een 29-jarige arrestant uit Den Haag is gisteravond op weg naar het politiebureau overleden.  De man werd onwel terwijl hij geboeid op de achterbank van de politieauto lag en overleed daar,Een 29-jarige arrestant uit Den Haag is gisteravond op weg naar het politiebureau overleden. De man werd <extra_id_0> geboeid op de achterbank van de <extra_id_1> overleed daar,"['onwel terwijl hij', 'politieauto lag en']",6,20.0,1
Zelfrijdende autos De Duitse auto-industrie reageerde traag op de omwentelingen in de sector.  Samenwerking moet leiden tot een inhaalslag,Zelfrijdende autos De Duitse auto-industrie reageerde traag op de omwentelingen in de sector. Samenwerking moet <extra_id_0>,['leiden tot een inhaalslag'],4,20.0,1
"Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART.  Mediabedrijf Wegener Arcade verwacht dat de nieuwe televisiezenders TV10 Gold en The Music Factory dit jaar nog niet zullen bijdragen aan de resultaten van het concern","Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART. Mediabedrijf Wegener Arcade verwacht dat de nieuwe televisiezenders TV10 Gold en <extra_id_0> jaar nog niet zullen <extra_id_1> resultaten van het concern","['The Music Factory dit', 'bijdragen aan de']",7,20.0,1
"Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid.  Letterlijk n figuurlijk, zo blijkt uit de inzendingen voor de essayprijs- vraag die deze krant samen met de Stichting Sociale Zekerheid 2001 organiseerde","Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid. Letterlijk n figuurlijk, zo blijkt uit de inzendingen voor de essayprijs- vraag die deze <extra_id_0> Stichting <extra_id_1> organiseerde","['krant samen met de', 'Sociale Zekerheid 2001']",7,20.0,1
